rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.4 No static import for classes,"Static import is not used for static nested classes. They are imported with normal imports.

",,Yes,"{'modulename': 'AvoidStaticImport', 'id': 'AvoidStaticImport'}
{'modulename': 'RedundantImport', 'id': 'RedundantImport'}
{'modulename': 'AvoidStarImport', 'id': 'AvoidStarImport'}
{'modulename': 'UnusedImports', 'id': 'UnusedImports'}
{'modulename': 'ImportOrder', 'id': 'ImportOrder', 'groups': 'java,javax,org,com', 'separated': 'true', 'sortStaticImportsAlphabetically': 'true', 'sortImportsAlphabetically': 'true'}",true,,"AvoidStaticImport
RedundantImport
AvoidStarImport
UnusedImports
ImportOrder",,,"AvoidStaticImport
RedundantImport
AvoidStarImport
UnusedImports
ImportOrder",,,"AvoidStaticImport
RedundantImport
AvoidStarImport
UnusedImports
ImportOrder",
3.4.1 Exactly one top-level class declaration,"Each top-level class resides in a source file of its own.

",,Yes,"{'modulename': 'OuterTypeNumber', 'max': '1'}
{'modulename': 'OneTopLevelClass'}",true,,"OuterTypeNumber
OneTopLevelClass",,,"OuterTypeNumber
OneTopLevelClass",,,"OuterTypeNumber
OneTopLevelClass",
3.4.2 Ordering of class contents,"The order you choose for the members and initializers of your class can have a great effect on learnability. However, there's no single correct recipe for how to do it; different classes may order their contents in different ways.
What is important is that each class uses 
some logical order , which its maintainer could explain if asked. For example, new methods are not just habitually added to the end of the class, as that would yield ""chronological by date added"" ordering, which is not a logical ordering.

",{'modulename': 'DeclarationOrder'},Yes,"{'modulename': 'DeclarationOrder', 'id': 'declarationOrder'}
{'modulename': 'InnerTypeLast', 'id': 'innerTypeLast'}",true,DeclarationOrder,InnerTypeLast,,DeclarationOrder,InnerTypeLast,,DeclarationOrder,InnerTypeLast,
4 Formatting,"Terminology Note: 
block-like construct refers to the body of a class, method or constructor. Note that, by Section 4.8.3.1 on array initializers , any array initializer may optionally be treated as if it were a block-like construct.",,Yes,"{'modulename': 'RightCurly', 'id': 'RightCurly', 'option': 'same'}
{'modulename': 'AvoidNestedBlocks', 'id': 'AvoidNestedBlocks', 'allowInSwitchCase': 'true'}
{'modulename': 'AvoidInlineConditionals', 'id': 'AvoidInlineConditionals'}
{'modulename': 'AvoidDoubleBraceInitialization', 'id': 'AvoidDoubleBraceInitialization'}
{'modulename': 'EmptyBlock', 'id': 'EmptyBlock', 'option': 'text'}
{'modulename': 'WhitespaceAround', 'id': 'WhitespaceAround', 'allowEmptyMethods': 'true', 'allowEmptyConstructors': 'true', 'allowEmptyTypes': 'true', 'allowEmptyLoops': 'true', 'allowEmptyLambdas': 'true', 'allowEmptyCatches': 'true'}
{'modulename': 'MethodLength', 'id': 'MethodLength', 'max': '50'}
{'modulename': 'OneStatementPerLine', 'id': 'OneStatementPerLine'}
{'modulename': 'FinalClass', 'id': 'FinalClass'}
{'modulename': 'FinalParameters', 'id': 'FinalParameters'}",true,,"RightCurly
AvoidNestedBlocks
AvoidInlineConditionals
AvoidDoubleBraceInitialization
EmptyBlock
WhitespaceAround
MethodLength
OneStatementPerLine
FinalClass
FinalParameters",,,"RightCurly
AvoidNestedBlocks
AvoidInlineConditionals
AvoidDoubleBraceInitialization
EmptyBlock
WhitespaceAround
MethodLength
OneStatementPerLine
FinalClass
FinalParameters",,,"RightCurly
AvoidNestedBlocks
AvoidInlineConditionals
AvoidDoubleBraceInitialization
EmptyBlock
WhitespaceAround
MethodLength
OneStatementPerLine
FinalClass
FinalParameters",
4.1.1 Use of optional braces,"Braces are used with `if` , `else` , `for` , `do` and `while` statements, even when the body is empty or contains only a single statement.
Other optional braces, such as those in a lambda expression, remain optional.


","{'modulename': 'NeedBraces', 'allowEmptyLoopBody': 'false', 'allowSingleLineStatement': 'false', 'tokens': 'LITERAL_DO, LITERAL_ELSE, LITERAL_FOR, LITERAL_IF, LITERAL_WHILE'}",Yes,"{'modulename': 'NeedBraces'}
{'modulename': 'LeftCurly'}
{'modulename': 'RightCurly'}",true,NeedBraces,"LeftCurly
RightCurly",,NeedBraces,"LeftCurly
RightCurly",,NeedBraces,"LeftCurly
RightCurly",
4.1.2 Nonempty blocks: K & R style,"Braces follow the Kernighan and Ritchie style ("" Egyptian brackets "") for nonempty blocks and block-like constructs:
No line break before the opening brace, except as detailed below. 
Line break after the opening brace. 
Line break before the closing brace. 
Line break after the closing brace, only if that brace terminates a statement or terminates the body of a method, constructor, or named class. For example, there is no line break after the brace if it is followed by `else` or a comma.
Exception: In places where these rules allow a single statement ending with a semicolon ( `;` ), a block of statements can appear, and the opening brace of this block is preceded by a line break. Blocks like these are typically introduced to limit the scope of local variables, for example inside switch statements.
Examples:
return () -> {
  while (condition()) {
    method();
  }
};

return new MyClass() {
  @Override public void method() {
    if (condition()) {
      try {
        something();
      } catch (ProblemException e) {
        recover();
      }
    } else if (otherCondition()) {
      somethingElse();
    } else {
      lastThing();
    }
    {
      int x = foo();
      frob(x);
    }
  }
};

A few exceptions for enum classes are given in Section 4.8.1, Enum classes .","{'modulename': 'LeftCurly', 'id': 'leftCurlyConfig', 'option': 'eol', 'ignoreEnums': 'true', 'tokens': 'ANNOTATION_DEF, CLASS_DEF, CTOR_DEF, ENUM_CONSTANT_DEF, ENUM_DEF, INTERFACE_DEF, LAMBDA, LITERAL_CASE, LITERAL_CATCH, LITERAL_DEFAULT, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, METHOD_DEF, OBJBLOCK, STATIC_INIT, RECORD_DEF, COMPACT_CTOR_DEF'}
{'modulename': 'RightCurly', 'id': 'RightCurlySame', 'option': 'same', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_DO'}
{'modulename': 'RightCurly', 'id': 'RightCurlyAlone', 'option': 'alone', 'tokens': 'CLASS_DEF, METHOD_DEF, CTOR_DEF, LITERAL_FOR, LITERAL_WHILE, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF, ENUM_DEF, INTERFACE_DEF, RECORD_DEF, COMPACT_CTOR_DEF, LITERAL_SWITCH, LITERAL_CASE'}",Yes,"{'modulename': 'RightCurly', 'option': 'alone', 'tokens': 'CLASS_DEF, METHOD_DEF, CTOR_DEF, LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_SWITCH, LITERAL_CASE, LITERAL_DEFAULT, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF, ENUM_DEF'}
{'modulename': 'NeedBraces', 'tokens': 'LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY'}
{'modulename': 'AvoidNestedBlocks', 'allowInSwitchCase': 'true'}
{'modulename': 'OneStatementPerLine'}
{'modulename': 'Indentation', 'basicOffset': '4', 'braceAdjustment': '0', 'caseIndent': '4', 'throwsIndent': '4', 'lineWrappingIndentation': '8'}
{'modulename': 'EmptyBlock', 'option': 'text'}
{'modulename': 'WhitespaceAround', 'tokens': 'LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_SWITCH, LITERAL_CASE, LITERAL_DEFAULT, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF, ENUM_DEF', 'allowEmptyMethods': 'true', 'allowEmptyConstructors': 'true', 'allowEmptyTypes': 'true', 'allowEmptyLoops': 'true', 'allowEmptyLambdas': 'true', 'allowEmptyCatches': 'true'}",true,RightCurly,"NeedBraces
AvoidNestedBlocks
OneStatementPerLine
Indentation
EmptyBlock
WhitespaceAround","LeftCurly
RightCurly",RightCurly,"NeedBraces
AvoidNestedBlocks
OneStatementPerLine
Indentation
EmptyBlock
WhitespaceAround","LeftCurly
RightCurly",,"RightCurly
NeedBraces
AvoidNestedBlocks
OneStatementPerLine
Indentation
EmptyBlock
WhitespaceAround","LeftCurly
RightCurly
RightCurly"
4.1.3 Empty blocks: may be concise,"An empty block or block-like construct may be in K & R style (as described in Section 4.1.2 ). Alternatively, it may be closed immediately after it is opened, with no characters or line break in between ( `{}` ), unless it is part of a multi-block statement (one that directly contains multiple blocks: `if/else` or `try/catch/finally` ).
Examples:
  // This is acceptable
  void doNothing() {}

  // This is equally acceptable
  void doNothingElse() {
  }

  // This is not acceptable: No concise empty blocks in a multi-block statement
  try {
    doSomething();
  } catch (Exception e) {}",,Yes,"{'modulename': 'EmptyBlock', 'option': 'text', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE'}
{'modulename': 'RightCurly', 'option': 'alone_or_singleline', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE'}",true,,"EmptyBlock
RightCurly",,,"EmptyBlock
RightCurly",,,"EmptyBlock
RightCurly",
4.2 Block indentation: +2 spaces,"Each time a new block or block-like construct is opened, the indent increases by two spaces. When the block ends, the indent returns to the previous indent level. The indent level applies to both code and comments throughout the block. (See the example in Section 4.1.2, Nonempty blocks: K & R Style .)","{'modulename': 'Indentation', 'basicOffset': '2', 'braceAdjustment': 'OurSetDefault'}",Yes,"{'modulename': 'Indentation', 'basicOffset': '2', 'braceAdjustment': '2', 'caseIndent': '2', 'throwsIndent': '2', 'lineWrappingIndentation': '2'}
{'modulename': 'CommentsIndentation'}
{'modulename': 'JavadocTagContinuationIndentation', 'indentation': '2'}",true,Indentation,"CommentsIndentation
JavadocTagContinuationIndentation",,Indentation,"CommentsIndentation
JavadocTagContinuationIndentation",,,"Indentation
CommentsIndentation
JavadocTagContinuationIndentation",Indentation
4.3 One statement per line,"Each statement is followed by a line break.

","{'modulename': 'OneStatementPerLine', 'treatTryResourcesAsStatement': 'OurSetDefault'}",Yes,"{'modulename': 'OneStatementPerLine'}
{'modulename': 'MultipleVariableDeclarations'}",true,OneStatementPerLine,MultipleVariableDeclarations,,OneStatementPerLine,MultipleVariableDeclarations,,OneStatementPerLine,MultipleVariableDeclarations,
4.4 Column limit: 100,"Java code has a column limit of 100 characters. A ""character"" means any Unicode code point. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in Section 4.5, Line-wrapping .
Each Unicode code point counts as one character, even if its display width is greater or less. For example, if using fullwidth characters , you may choose to wrap the line earlier than where this rule strictly requires.
Exceptions:
Lines where obeying the column limit is not possible (for example, a long URL in Javadoc, or a long JSNI method reference). 
`package` and `import` statements (see Sections 3.2 Package statement and 3.3 Import statements ). 
Command lines in a comment that may be copied-and-pasted into a shell. 
Very long identifiers, on the rare occasions they are called for, are allowed to exceed the column limit. In that case, the valid wrapping for the surrounding code is as produced by google-java-format .","{'modulename': 'LineLength', 'max': '100', 'ignorePattern': 'OurSetDefault'}",Yes,"{'modulename': 'LineLength', 'max': '100', 'ignorePattern': '^.*(http|https|ftp)://.*$', 'ignoreImports': 'true'}
{'modulename': 'Indentation', 'basicOffset': '4', 'braceAdjustment': '4', 'caseIndent': '4', 'throwsIndent': '4', 'lineWrappingIndentation': '8'}",true,LineLength,Indentation,,,"LineLength
Indentation",LineLength,LineLength,Indentation,
4.5 Line-wrapping,"Terminology Note: When code that might otherwise legally occupy a single line is divided into multiple lines, this activity is called line-wrapping .
There is no comprehensive, deterministic formula showing exactly how to line-wrap in every situation. Very often there are several valid ways to line-wrap the same piece of code.
Note: While the typical reason for line-wrapping is to avoid overflowing the column limit, even code that would in fact fit within the column limit may be line-wrapped at the author's discretion.
Tip: Extracting a method or local variable may solve the problem without the need to line-wrap.

",,Yes,"{'modulename': 'LineLength', 'max': '80'}
{'modulename': 'Indentation', 'basicOffset': '4', 'lineWrappingIndentation': '8', 'braceAdjustment': '4', 'caseIndentation': '4', 'throwsIndentation': '4'}
{'modulename': 'OperatorWrap', 'option': 'NL'}",true,,"LineLength
Indentation
OperatorWrap",,,"LineLength
Indentation
OperatorWrap",,,"LineLength
Indentation
OperatorWrap",
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level . Also:
When a line is broken at a non-assignment operator the break comes before the symbol. (Note that this is not the same practice used in Google style for other languages, such as C++ and JavaScript.) 
This also applies to the following ""operator-like"" symbols: 
the dot separator ( `.` ) 
the two colons of a method reference ( `::` ) 
an ampersand in a type bound ( `<TextendsFoo&Bar>` ) 
a pipe in a catch block ( `catch(FooException|BarExceptione)` ). 
When a line is broken at an assignment operator the break typically comes after the symbol, but either way is acceptable. 
This also applies to the ""assignment-operator-like"" colon in an enhanced `for` (""foreach"") statement. 
A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
A comma ( `,` ) stays attached to the token that precedes it. 
A line is never broken adjacent to the arrow in a lambda, except that a break may come immediately after the arrow if the body of the lambda consists of a single unbraced expression. Examples:
MyLambda<String, Long, Object> lambda =
    (String label, Long value, Object obj) -> {
        ...
    };

Predicate<String> predicate = str ->
    longExpressionInvolving(str);

Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","{'modulename': 'OperatorWrap', 'id': 'OperatorWrap3', 'option': 'nl', 'tokens': 'QUESTION , COLON , EQUAL , NOT_EQUAL , DIV , PLUS , MINUS , STAR , MOD , SR , BSR , GE , GT , SL , LE , LT , BXOR , BOR , LOR , BAND , LAND , TYPE_EXTENSION_AND , LITERAL_INSTANCEOF '}
{'modulename': ' OperatorWrap', 'id': 'LineBreakAroundAssignmentOperator', 'option': 'nl', 'tokens': 'ASSIGN, DIV_ASSIGN, PLUS_ASSIGN, MINUS_ASSIGN, STAR_ASSIGN, MOD_ASSIGN, SR_ASSIGN, BSR_ASSIGN, SL_ASSIGN, BXOR_ASSIGN, BOR_ASSIGN, BAND_ASSIGN'}
{'modulename': 'SeparatorWrap', 'id': 'SeparatorWrapNL', 'tokens': 'DOT, METHOD_REF', 'option': 'nl'}
{'modulename': 'MethodParamPad', 'id': 'MethodParamPad1', 'allowLineBreaks': 'false', 'tokens': 'CTOR_DEF, METHOD_CALL, METHOD_DEF, SUPER_CTOR_CALL'}
{'modulename': 'NoWhitespaceBefore', 'id': 'NoWhitespaceBefore1', 'allowLineBreaks': 'false', 'tokens': 'COMMA'}",Yes,"{'modulename': 'Indentation', 'basicOffset': '4', 'lineWrappingIndentation': '8', 'braceAdjustment': '4', 'caseIndentation': '4', 'throwsIndentation': '4'}
{'modulename': 'OperatorWrap', 'option': 'NL_BEFORE', 'tokens': 'ASSIGN, PLUS, MINUS, STAR, DIV, MOD, SR, BSR, SL, BXOR, BOR, BAND, LOR, LAND, TYPE_EXTENSION_AND, METHOD_REF, DOT, LAMBDA, QUESTION, COLON, EQUAL, NOT_EQUAL, LT, GT, LE, GE, LITERAL_INSTANCEOF, LITERAL_CATCH, LITERAL_FOR'}",true,OperatorWrap,Indentation," OperatorWrap
SeparatorWrap
MethodParamPad
NoWhitespaceBefore",OperatorWrap,Indentation," OperatorWrap
SeparatorWrap
MethodParamPad
NoWhitespaceBefore",,"Indentation
OperatorWrap","OperatorWrap
 OperatorWrap
SeparatorWrap
MethodParamPad
NoWhitespaceBefore"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line.
When there are multiple continuation lines, indentation may be varied beyond +4 as desired. In general, two continuation lines use the same indentation level if and only if they begin with syntactically parallel elements.
Section 4.6.3 on Horizontal alignment addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","{'modulename': 'Indentation', 'id': 'indentation_rule', 'forceStrictCondition': 'false'}",Yes,"{'modulename': 'JavadocTagContinuationIndentation', 'indentation': '4'}
{'modulename': 'Indentation', 'basicOffset': '4', 'lineWrappingIndentation': '4'}",true,Indentation,JavadocTagContinuationIndentation,,Indentation,JavadocTagContinuationIndentation,,Indentation,JavadocTagContinuationIndentation,
4.6.1 Vertical Whitespace,"A single blank line always appears:
Between consecutive members or initializers of a class: fields, constructors, methods, nested classes, static initializers, and instance initializers. 
Exception: A blank line between two consecutive fields (having no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
Exception: Blank lines between enum constants are covered in Section 4.8.1 . 
As required by other sections of this document (such as Section 3, Source file structure , and Section 3.3, Import statements ).
A single blank line may also appear anywhere it improves readability, for example between statements to organize the code into logical subsections. A blank line before the first member or initializer, or after the last member or initializer of the class, is neither encouraged nor discouraged.
Multiple consecutive blank lines are permitted, but never required (or encouraged).","{'modulename': 'EmptyLineSeparator', 'id': 'rule4', 'allowMultipleEmptyLines': 'true', 'allowNoEmptyLineBetweenFields': 'true', 'tokens': 'METHOD_DEF, CLASS_DEF, INSTANCE_INIT, VARIABLE_DEF, CTOR_DEF, STATIC_INIT'}",Yes,"{'modulename': 'EmptyLineSeparator', 'tokens': 'PACKAGE_DEF, IMPORT, STATIC_INIT, INSTANCE_INIT, FIELD_DEF, CTOR_DEF, METHOD_DEF, CLASS_DEF, INTERFACE_DEF, ENUM_DEF, ENUM_CONSTANT_DEF'}",true,EmptyLineSeparator,,,EmptyLineSeparator,,,,EmptyLineSeparator,EmptyLineSeparator
