rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.4 No static import for classes,Static import is not used for static nested classes. They are imported with normal imports.,,Yes,"<module
******
<module name='AvoidStaticImport'>
            <property name='id' value='AvoidStaticImport'/>
            <property name='option' value='classes'/>
        </module>",true,,AvoidStaticImport,,,AvoidStaticImport,,,AvoidStaticImport,
3.4.1 Exactly one top-level class declaration,Each top-level class resides in a source file of its own.,"<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""OneTopLevelClass""/>
  </module>
</module>",Yes,"<module
******
<module name='onetoplevelclass'/>",true,,onetoplevelclass,OneTopLevelClass,,onetoplevelclass,OneTopLevelClass,,onetoplevelclass,OneTopLevelClass
3.4.2 Ordering of class contents,"The order you choose for the members and initializers of your class can have a great effect on learnability. However, there's no single correct recipe for how to do it; different classes may order their contents in different ways.
 What is important is that each class uses 
 some logical order , which its maintainer could explain if asked. For example, new methods are not just habitually added to the end of the class, as that would yield ""chronological by date added"" ordering, which is not a logical ordering.",,Yes,"<module
******
<module name='DeclarationOrder'/>",true,,DeclarationOrder,,,DeclarationOrder,,,DeclarationOrder,
4 Formatting,"Terminology Note: 
 block-like construct refers to the body of a class, method or constructor. Note that, by Section 4.8.3.1 on array initializers , any array initializer may optionally be treated as if it were a block-like construct.",,Yes,"<module name='Indentation'>
  <property name='id' value='Indentation'/>
  <property name='basicOffset' value='4'/>
  <property name='caseIndent' value='4'/>
  <property name='throwsIndent' value='4'/>
</module>
******
<module name='LeftCurly'>
  <property name='id' value='LeftCurly'/>
  <property name='option' value='nl'/>
  <property name='tokens' value='CLASS_DEF,INTERFACE_DEF,METHOD_DEF,LITERAL_WHILE,LITERAL_DO,LITERAL_FOR,STATIC_INIT,INSTANCE_INIT,CASE_GROUP,OBJBLOCK'/>
</module>",true,,"Indentation
LeftCurly",,,"Indentation
LeftCurly",,,"Indentation
LeftCurly",
4.1.1 Use of optional braces,"Braces are used with `if` , `else` , `for` , `do` and `while` statements, even when the body is empty or contains only a single statement.
 Other optional braces, such as those in a lambda expression, remain optional.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""NeedBraces"">
                        <property name=""allowSingleLineStatement"" value=""false""/>
                        <property name=""allowEmptyLoopBody"" value=""false""/>
                        <property name=""tokens"" value=""LITERAL_DO, LITERAL_ELSE, LITERAL_FOR, LITERAL_IF, LITERAL_WHILE""/>
                </module>
        </module>
</module>",Yes,<module name='NeedBraces'/>,true,NeedBraces,,,,NeedBraces,NeedBraces,,NeedBraces,NeedBraces
4.1.2 Nonempty blocks: K & R style,"Braces follow the Kernighan and Ritchie style ("" Egyptian brackets "") for nonempty blocks and block-like constructs:
 No line break before the opening brace, except as detailed below. 
 Line break after the opening brace. 
 Line break before the closing brace. 
 Line break after the closing brace, only if that brace terminates a statement or terminates the body of a method, constructor, or named class. For example, there is no line break after the brace if it is followed by `else` or a comma.
 Exception: In places where these rules allow a single statement ending with a semicolon ( `;` ), a block of statements can appear, and the opening brace of this block is preceded by a line break. Blocks like these are typically introduced to limit the scope of local variables, for example inside switch statements.
 Examples:
 return () -> {
  while (condition()) {
  method();
  }
 };
 

 return new MyClass() {
  @Override public void method() {
  if (condition()) {
  try {
  something();
  } catch (ProblemException e) {
  recover();
  }
  } else if (otherCondition()) {
  somethingElse();
  } else {
  lastThing();
  }
  {
  int x = foo();
  frob(x);
  }
  }
 };
 

 A few exceptions for enum classes are given in Section 4.8.1, Enum classes .","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""LeftCurly"">
                        <property name=""ignoreEnums"" value=""true""/>
                        <property name=""tokens"" value=""ANNOTATION_DEF , CLASS_DEF , CTOR_DEF , ENUM_CONSTANT_DEF , ENUM_DEF , INTERFACE_DEF , LAMBDA , LITERAL_CASE , LITERAL_CATCH , LITERAL_DEFAULT , LITERAL_DO , LITERAL_ELSE , LITERAL_FINALLY , LITERAL_FOR , LITERAL_IF , LITERAL_SWITCH , LITERAL_SYNCHRONIZED , LITERAL_TRY , LITERAL_WHILE , METHOD_DEF , OBJBLOCK , STATIC_INIT , RECORD_DEF , COMPACT_CTOR_DEF""/>
                        <property name=""option"" value=""eol""/>
                </module>
                <module name=""RightCurly"">
                        <property name=""id"" value=""RightCurlySame""/>
                        <property name=""option"" value=""same""/>
                        <property name=""tokens"" value=""LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_DO""/>
                </module>
                <module name=""RightCurly"">
                        <property name=""id"" value=""RightCurlyAlone""/>
                        <property name=""option"" value=""alone""/>
                        <property name=""tokens"" value=""CLASS_DEF, METHOD_DEF, CTOR_DEF, LITERAL_FOR, LITERAL_WHILE, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF, ENUM_DEF, INTERFACE_DEF, RECORD_DEF, COMPACT_CTOR_DEF, LITERAL_SWITCH, LITERAL_CASE""/>
                </module>
        </module>
</module>",Yes,"<module
******
<module name='RightCurly'>
  <property name='option' value='nl'/>
  <property name='tokens' value='LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, METHOD_DEF, CTOR_DEF, CLASS_DEF, LITERAL_SWITCH, STATIC_INIT, INSTANCE_INIT, LITERAL_TRY, LITERAL_CATCH'/>
  <property name='option' value='eol'/>
  <property name='tokens' value='LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, METHOD_DEF, CTOR_DEF, CLASS_DEF, LITERAL_SWITCH, STATIC_INIT, INSTANCE_INIT, LITERAL_TRY, LITERAL_CATCH'/>
</module>"",
        ""
******
<module name='LeftCurly'>
  <property name='option' value='nl'/>
  <property name='tokens' value='LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, METHOD_DEF, CTOR_DEF, CLASS_DEF, LITERAL_SWITCH, STATIC_INIT, INSTANCE_INIT, LITERAL_TRY, LITERAL_CATCH'/>
  <property name='option' value='eol'/>
  <property name='tokens' value='LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, METHOD_DEF, CTOR_DEF, CLASS_DEF, LITERAL_SWITCH, STATIC_INIT, INSTANCE_INIT, LITERAL_TRY, LITERAL_CATCH'/>
</module>",true,"RightCurly
LeftCurly",,RightCurly,,"RightCurly
LeftCurly","LeftCurly
RightCurly
RightCurly",,"RightCurly
LeftCurly","LeftCurly
RightCurly
RightCurly"
4.1.3 Empty blocks: may be concise,"An empty block or block-like construct may be in K & R style (as described in Section 4.1.2 ). Alternatively, it may be closed immediately after it is opened, with no characters or line break in between ( `{}` ), unless it is part of a multi-block statement (one that directly contains multiple blocks: `if/else` or `try/catch/finally` ).
 Examples:
  // This is acceptable
  void doNothing() {}
 

  // This is equally acceptable
  void doNothingElse() {
  }
 

  // This is not acceptable: No concise empty blocks in a multi-block statement
  try {
  doSomething();
  } catch (Exception e) {}",,Yes,"<module
******
<module name='EmptyBlock'>
            <property name='option' value='TEXT'/>
            <property name='option' value='BLOCKS'/>
            <property name='option' value='BLOCKS_CLONE'/>
        </module>",true,,EmptyBlock,,,EmptyBlock,,,EmptyBlock,
4.2 Block indentation: +2 spaces,"Each time a new block or block-like construct is opened, the indent increases by two spaces. When the block ends, the indent returns to the previous indent level. The indent level applies to both code and comments throughout the block. (See the example in Section 4.1.2, Nonempty blocks: K & R Style .)","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""Indentation"">
                        <property name=""basicOffset"" value=""2""/>
                        <property name=""arrayInitIndent"" value=""2""/>
                </module>
        </module>
</module>",Yes,"<module
******
<module name='Indentation'>
  <property name='basicOffset' value='2'/>
  <property name='braceAdjustment' value='2'/>
  <property name='caseIndent' value='2'/>
  <property name='throwsIndent' value='2'/>
  <property name='lineWrappingIndentation' value='2'/>
</module>",true,Indentation,,,,Indentation,Indentation,,Indentation,Indentation
4.3 One statement per line,Each statement is followed by a line break.,"<module name=""Checker"">
  <module name=""TreeWalker"">
    <module name=""OneStatementPerLine""/>
  </module>
</module>",Yes,<module name='OneStatementPerLine'/>,true,OneStatementPerLine,,,OneStatementPerLine,,,OneStatementPerLine,,
4.4 Column limit: 100,"Java code has a column limit of 100 characters. A ""character"" means any Unicode code point. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in Section 4.5, Line-wrapping .
 Each Unicode code point counts as one character, even if its display width is greater or less. For example, if using fullwidth characters , you may choose to wrap the line earlier than where this rule strictly requires.
 Exceptions:
 Lines where obeying the column limit is not possible (for example, a long URL in Javadoc, or a long JSNI method reference). 
 `package` and `import` statements (see Sections 3.2 Package statement and 3.3 Import statements ). 
 Command lines in a comment that may be copied-and-pasted into a shell. 
 Very long identifiers, on the rare occasions they are called for, are allowed to exceed the column limit. In that case, the valid wrapping for the surrounding code is as produced by google-java-format .","<module name=""Checker"">
        <module name=""LineLength"">
                <property name=""ignorePattern"" value=""^(package|import) .*|^import.*|a href|href|http://|https://|ftp://""/>
                <property name=""max"" value=""100""/>
                <property name=""fileExtensions"" value=""java""/>
        </module>
</module>",Yes,"<module
******
<module name='LineLength'>
  <property name='severity' value='warning'/>
  <property name='max' value='100'/>
  <property name='ignorePattern' value='^import\\s.*|^package\\s.*|^\\s*\\/\\/.*\\s*$|^\\s*\\/\\*.*\\*\\/\\s*$|^\\s*\\*\\s*$'/>
</module>",true,LineLength,,,,LineLength,LineLength,,LineLength,LineLength
4.5 Line-wrapping,"Terminology Note: When code that might otherwise legally occupy a single line is divided into multiple lines, this activity is called line-wrapping .
 There is no comprehensive, deterministic formula showing exactly how to line-wrap in every situation. Very often there are several valid ways to line-wrap the same piece of code.
 Note: While the typical reason for line-wrapping is to avoid overflowing the column limit, even code that would in fact fit within the column limit may be line-wrapped at the author's discretion.
 Tip: Extracting a method or local variable may solve the problem without the need to line-wrap.",,Yes,"<module name='RightCurly'/>
******
<module name='LineLength'>
******
<module name='MethodCount'>
******
<module name='JavadocMethod'/>
******
<module name='MethodLength'/>
******
<module name='ParameterNumber'/>
******
<module name='ExecutableStatementCount'/>
******
<module name='FileLength'/>
******
<module name='CyclomaticComplexity'/>
******
<module name='NestedTryDepth'/>
******
<module name='NestedForDepth'/>
******
<module name='EmptyLineSeparator'/>
******
<module name='EmptyBlock'/>
******
<module name='EmptyStatement'/>
******
<module name='EmptyForIteratorPad'/>
******
<module name='EmptyForInitializerPad'/>
******
<module name='NoLineWrap'/>
******
<module name='LambdaBodyLength'/>",,,,,,,,,,
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level . Also:
 When a line is broken at a non-assignment operator the break comes before the symbol. (Note that this is not the same practice used in Google style for other languages, such as C++ and JavaScript.) 
 This also applies to the following ""operator-like"" symbols: 
 the dot separator ( `.` ) 
 the two colons of a method reference ( `::` ) 
 an ampersand in a type bound ( `<TextendsFoo&Bar>` ) 
 a pipe in a catch block ( `catch(FooException|BarExceptione)` ). 
 When a line is broken at an assignment operator the break typically comes after the symbol, but either way is acceptable. 
 This also applies to the ""assignment-operator-like"" colon in an enhanced `for` (""foreach"") statement. 
 A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
 A comma ( `,` ) stays attached to the token that precedes it. 
 A line is never broken adjacent to the arrow in a lambda, except that a break may come immediately after the arrow if the body of the lambda consists of a single unbraced expression. Examples:
 MyLambda<String, Long, Object> lambda =
  (String label, Long value, Object obj) -> {
  ...
  };
 

 Predicate<String> predicate = str ->
  longExpressionInvolving(str);
 

 Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""OperatorWrap"">
                        <property name=""option"" value=""NL""/>
                        <property name=""tokens"" value=""QUESTION, EQUAL, NOT_EQUAL, DIV, PLUS, MINUS, STAR, MOD, SR, BSR, GE, GT, SL, LE, LT, BXOR ,BOR ,LOR ,BAND ,LAND ,LITERAL_INSTANCEOF ,TYPE_EXTENSION_AND, METHOD_REF ""/>
                </module>
                <module name=""SeparatorWrap"">
                        <property name=""id"" value=""SeparatorWrapNL""/>
                        <property name=""tokens"" value=""DOT, METHOD_REF""/>
                        <property name=""option"" value=""nl""/>
                </module>
                <module name=""SeparatorWrap"">
                        <property name=""id"" value=""SeparatorWrapEOL""/>
                        <property name=""tokens"" value=""COMMA, LPAREN""/>
                        <property name=""option"" value=""EOL""/>
                </module>
                <module name=""MethodParamPad"">
                        <property name=""allowLineBreaks"" value=""true""/>
                        <property name=""option"" value=""space""/>
                        <property name=""tokens"" value=""CTOR_DEF, LITERAL_NEW, METHOD_CALL, METHOD_DEF, SUPER_CTOR_CALL, ENUM_CONSTANT_DEF, RECORD_DEF""/>
                </module>
        </module>
</module>
",Yes,"<module
******
<module name='OperatorWrap'>
  <property name='id' value='OperatorWrap'/>
  <property name='option' value='nl'/>
  <property name='tokens' value='ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, COLON, DIV, DIV_ASSIGN, EQUAL, GE, GT, LAND, LE, LITERAL_ASSERT, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, LT, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, SL, SLIST, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN, XOR, XOR_ASSIGN'/>
  <property name='inners' value='true'/>
</module>"",
        ""
******
<module name='NoLineWrap'>
  <property name='id' value='NoLineWrap'/>
  <property name='option' value='lambda'/>
</module>"",
        ""
******
<module name='ParameterName'>
  <property name='id' value='ParameterName'/>
  <property name='format' value='^[a-z][a-zA-Z0-9]*$'/>
</module>",true,OperatorWrap,"NoLineWrap
ParameterName","SeparatorWrap
SeparatorWrap
MethodParamPad",,"OperatorWrap
NoLineWrap
ParameterName","OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad",,"OperatorWrap
NoLineWrap
ParameterName","OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line.
 When there are multiple continuation lines, indentation may be varied beyond +4 as desired. In general, two continuation lines use the same indentation level if and only if they begin with syntactically parallel elements.
 Section 4.6.3 on Horizontal alignment addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""Indentation"">
                        <property name=""lineWrappingIndentation"" value=""4""/>
                        <property name=""forceStrictCondition"" value=""false""/>
                        <property name=""throwsIndent"" value=""4""/>
                </module>
        </module>
</module>",Yes,"<module
******
<module name='Indentation'>
            <property name='basicOffset' value='4'/>
            <property name='braceAdjustment' value='0'/>
            <property name='caseIndent' value='4'/>
            <property name='throwsIndent' value='4'/>
            <property name='lineWrappingIndentation' value='4'/>
            <property name='arrayInitIndent' value='4'/>
            <property name='lineWrappingIndentationForArrayInitializer' value='4'/>
            <property name='lineWrappingIndentationForSelector' value='4'/>
            <property name='lineWrappingIndentationForExtendsImplements' value='4'/>
            <property name='lineWrappingIndentationForAnnotationArrayInitializer' value='4'/>
            <property name='lineWrappingIndentationForBinaryExpression' value='4'/>
            <property name='lineWrappingIndentationForChainedMethodCall' value='4'/>
            <property name='lineWrappingIndentationForMethodDeclaration' value='4'/>
            <property name='lineWrappingIndentationForSwitch' value='4'/>
            <property name='lineWrappingIndentationForTernaryExpression' value='4'/>
            <property name='lineWrappingIndentationForMethodCall' value='4'/>
            <property name='lineWrappingIndentationForFieldAccess' value='4'/>
            <property name='lineWrappingIndentationForNewClass' value='4'/>
            <property name='lineWrappingIndentationForArrayAllocationExpression' value='4'/>
            <property name='lineWrappingIndentationForQualifiedAllocationExpression' value='4'/>
            <property name='lineWrappingIndentationForArgument' value='4'/>
            <property name='lineWrappingIndentationForEnumConstant' value='4'/>
            <property name='lineWrappingIndentationForNumberLiteral' value='4'/>
            <property name='lineWrappingIndentationForMethodRef' value='4'/>
            <property name='lineWrappingIndentationForLambda' value='4'/>
        </module>",true,Indentation,,,,Indentation,Indentation,,Indentation,Indentation
4.6.1 Vertical Whitespace,"A single blank line always appears:
 Between consecutive members or initializers of a class: fields, constructors, methods, nested classes, static initializers, and instance initializers. 
 Exception: A blank line between two consecutive fields (having no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
 Exception: Blank lines between enum constants are covered in Section 4.8.1 . 
 As required by other sections of this document (such as Section 3, Source file structure , and Section 3.3, Import statements ).
 A single blank line may also appear anywhere it improves readability, for example between statements to organize the code into logical subsections. A blank line before the first member or initializer, or after the last member or initializer of the class, is neither encouraged nor discouraged.
 Multiple consecutive blank lines are permitted, but never required (or encouraged).","<module name=""Checker"">
        <module name=""TreeWalker"">
                <module name=""EmptyLineSeparator"">
                        <property name=""tokens"" value=""CLASS_DEF, STATIC_INIT, INSTANCE_INIT, METHOD_DEF, CTOR_DEF, COMPACT_CTOR_DEF""/>
                        <property name=""allowNoEmptyLineBetweenFields"" value=""true""/>
                </module>
        </module>
</module>",Yes,"<module name='EmptyLineSeparator'/>
******
<module name='EmptyBlock'/>",true,EmptyLineSeparator,EmptyBlock,,,"EmptyLineSeparator
EmptyBlock",EmptyLineSeparator,,"EmptyLineSeparator
EmptyBlock",EmptyLineSeparator
