Section Name,Style Url,Total Description,Style Rules,Tool URL,Tool Description,Tool Rules (Can Ignore),Options,Our Results,GPT results_rule_name_descr_options,GPT results_rule_name_descr,GPT results_html,Refer url,Refer Results
3.4.1.1.1 File extensions in import paths,previous,"The .js file extension is not optional in import paths and must always be included.

import '../directory/file';
import '../directory/file.js';","The .js file extension is not optional in import paths and must always be included.
",,,,,,,,,,
3.4.1.2 Importing the same file multiple times,previous,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.

// Imports have the same path, but since it doesn't align it can be hard to see.
import {short} from './long/path/to/a/file.js';
import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';",Do not import the same file multiple times. ,https://eslint.org/docs/v8.x/rules/no-duplicate-imports,"Disallow duplicate module imports

Using a single import statement per module will make the code clearer because you can see everything being imported from that module on one line.

In the following example the module import on line 1 is repeated on line 3. These can be combined to make the list of imports more succinct.

import { merge } from 'module';
import something from 'another-module';
import { find } from 'module';",no-duplicate-imports,"This rule takes one optional argument, an object with a single key, includeExports which is a boolean. It defaults to false.

If re-exporting from an imported module, you should add the imports to the import-statement, and export that directly, not use export ... from.

Example of incorrect code for this rule with the { ""includeExports"": true } option:

Open in Playground
/*eslint no-duplicate-imports: [""error"", { ""includeExports"": true }]*/

import { merge } from 'module';

export { find } from 'module';





Example of correct code for this rule with the { ""includeExports"": true } option:

Open in Playground
/*eslint no-duplicate-imports: [""error"", { ""includeExports"": true }]*/

import { merge, find } from 'module';

export { find };





Example of correct code for this rule with the { ""includeExports"": true } option:

Open in Playground
/*eslint no-duplicate-imports: [""error"", { ""includeExports"": true }]*/

import { merge, find } from 'module';

// cannot be merged with the above import
export * as something from 'module';

// cannot be written differently
export * from 'module';","no-duplicate-imports: [""error""]",,,,,
3.4.1.3 Naming imports,previous,,,,,,,,,,,,
3.4.1.3.1 Naming module imports,previous,"Module import names (import * as name) are lowerCamelCase names that are derived from the imported file name.

import * as fileOne from '../file-one.js';
import * as fileTwo from '../file_two.js';
import * as fileThree from '../filethree.js';
import * as libString from './lib/string.js';
import * as math from './math/math.js';
import * as vectorMath from './vector/math.js';","1. Module import names (import * as name) are lowerCamelCase

2. import names should be derived from the imported file name",1. https://eslint.org/docs/v8.x/rules/camelcase,"When it comes to naming variables, style guides generally fall into one of two camps: camelcase (variableName) and underscores (variable_name). This rule focuses on using the camelcase approach. If your style guide calls for camelCasing your variable names, then this rule is for you!",camelcase,"This rule has an object option:

""properties"": ""always"" (default) enforces camelcase style for property names
""properties"": ""never"" does not check property names
""ignoreDestructuring"": false (default) enforces camelcase style for destructured identifiers
""ignoreDestructuring"": true does not check destructured identifiers (but still checks any use of those identifiers later in the code)
""ignoreImports"": false (default) enforces camelcase style for ES2015 imports
""ignoreImports"": true does not check ES2015 imports (but still checks any use of the imports later in the code except function arguments)
""ignoreGlobals"": false (default) enforces camelcase style for global variables
""ignoreGlobals"": true does not enforce camelcase style for global variables
allow (string[]) list of properties to accept. Accept regex.
properties: “always”
Examples of incorrect code for this rule with the default { ""properties"": ""always"" } option:

Open in Playground
/*eslint camelcase: ""error""*/

import { no_camelcased } from ""external-module""

var my_favorite_color = ""#112C85"";

function do_something() {
    // ...
}

obj.do_something = function() {
    // ...
};

function foo({ no_camelcased }) {
    // ...
};

function bar({ isCamelcased: no_camelcased }) {
    // ...
}

function baz({ no_camelcased = 'default value' }) {
    // ...
};

var obj = {
    my_pref: 1
};

var { category_id = 1 } = query;

var { foo: snake_cased } = bar;

var { foo: bar_baz = 1 } = quz;



































Examples of correct code for this rule with the default { ""properties"": ""always"" } option:

Open in Playground
/*eslint camelcase: ""error""*/

import { no_camelcased as camelCased } from ""external-module"";

var myFavoriteColor   = ""#112C85"";
var _myFavoriteColor  = ""#112C85"";
var myFavoriteColor_  = ""#112C85"";
var MY_FAVORITE_COLOR = ""#112C85"";
var foo1 = bar.baz_boom;
var foo2 = { qux: bar.baz_boom };

obj.do_something();
do_something();
new do_something();

var { category_id: category } = query;

function foo({ isCamelCased }) {
    // ...
};

function bar({ isCamelCased: isAlsoCamelCased }) {
    // ...
}

function baz({ isCamelCased = 'default value' }) {
    // ...
};

var { categoryId = 1 } = query;

var { foo: isCamelCased } = bar;

var { foo: isCamelCased = 1 } = quz;




































properties: “never”
Examples of correct code for this rule with the { ""properties"": ""never"" } option:

Open in Playground
/*eslint camelcase: [""error"", {properties: ""never""}]*/

var obj = {
    my_pref: 1
};

obj.foo_bar = ""baz"";







ignoreDestructuring: false
Examples of incorrect code for this rule with the default { ""ignoreDestructuring"": false } option:

Open in Playground
/*eslint camelcase: ""error""*/

var { category_id } = query;

var { category_name = 1 } = query;

var { category_id: category_title } = query;

var { category_id: category_alias } = query;

var { category_id: categoryId, ...other_props } = query;











ignoreDestructuring: true
Examples of incorrect code for this rule with the { ""ignoreDestructuring"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreDestructuring: true}]*/

var { category_id: category_alias } = query;

var { category_id, ...other_props } = query;





Examples of correct code for this rule with the { ""ignoreDestructuring"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreDestructuring: true}]*/

var { category_id } = query;

var { category_id = 1 } = query;

var { category_id: category_id } = query;







Please note that this option applies only to identifiers inside destructuring patterns. It doesn’t additionally allow any particular use of the created variables later in the code apart from the use that is already allowed by default or by other options.

Examples of additional incorrect code for this rule with the { ""ignoreDestructuring"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreDestructuring: true}]*/

var { some_property } = obj; // allowed by {ignoreDestructuring: true}
var foo = some_property + 1; // error, ignoreDestructuring does not apply to this statement




A common use case for this option is to avoid useless renaming when the identifier is not intended to be used later in the code.

Examples of additional correct code for this rule with the { ""ignoreDestructuring"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreDestructuring: true}]*/

var { some_property, ...rest } = obj;
// do something with 'rest', nothing with 'some_property'




Another common use case for this option is in combination with { ""properties"": ""never"" }, when the identifier is intended to be used only as a property shorthand.

Examples of additional correct code for this rule with the { ""properties"": ""never"", ""ignoreDestructuring"": true } options:

Open in Playground
/*eslint camelcase: [""error"", {""properties"": ""never"", ignoreDestructuring: true}]*/

var { some_property } = obj;
doSomething({ some_property });




ignoreImports: false
Examples of incorrect code for this rule with the default { ""ignoreImports"": false } option:

Open in Playground
/*eslint camelcase: ""error""*/

import { snake_cased } from 'mod';



ignoreImports: true
Examples of incorrect code for this rule with the { ""ignoreImports"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreImports: true}]*/

import default_import from 'mod';

import * as namespaced_import from 'mod';





Examples of correct code for this rule with the { ""ignoreImports"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreImports: true}]*/

import { snake_cased } from 'mod';



ignoreGlobals: false
Examples of incorrect code for this rule with the default { ""ignoreGlobals"": false } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreGlobals: false}]*/
/* global no_camelcased */

const foo = no_camelcased;




ignoreGlobals: true
Examples of correct code for this rule with the { ""ignoreGlobals"": true } option:

Open in Playground
/*eslint camelcase: [""error"", {ignoreGlobals: true}]*/
/* global no_camelcased */

const foo = no_camelcased;




allow
Examples of correct code for this rule with the allow option:

Open in Playground
/*eslint camelcase: [""error"", {allow: [""UNSAFE_componentWillMount""]}]*/

function UNSAFE_componentWillMount() {
    // ...
}





Open in Playground
/*eslint camelcase: [""error"", {allow: [""^UNSAFE_""]}]*/

function UNSAFE_componentWillMount() {
    // ...
}

function UNSAFE_componentWillReceiveProps() {
    // ...
}","camelcase: [""error"", {ignoreImports: false}",,,,,
3.4.1.3.2 Naming default imports,previous,"Default import names are derived from the imported file name and follow the rules in 6.2 Rules by identifier type.

import MyClass from '../my-class.js';
import myFunction from '../my_function.js';
import SOME_CONSTANT from '../someconstant.js';

Note: In general this should not happen as default exports are banned by this style guide, see 3.4.2.1 Named vs default exports. Default imports are only used to import modules that do not conform to this style guide.","1. Default import names are derived from the imported file name

2. should not use default exports",,,,,,,,,,
3.4.1.3.3 Naming named imports,previous,"In general symbols imported via the named import (import {name}) should keep the same name. Avoid aliasing imports (import {SomeThing as SomeOtherThing}). Prefer fixing name collisions by using a module import (import *) or renaming the exports themselves.

import * as bigAnimals from './biganimals.js';
import * as domesticatedAnimals from './domesticatedanimals.js';

new bigAnimals.Cat();
new domesticatedAnimals.Cat();


If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.

import {Cat as BigCat} from './biganimals.js';
import {Cat as DomesticatedCat} from './domesticatedanimals.js';

new BigCat();
new DomesticatedCat();","1. Avoid aliasing imports

2. Prefer fixing name collisions by using a module import (import *) or renaming the exports themselves.

3.If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
",,,,,,,,,,
3.4.2 Exports,https://google.github.io/styleguide/jsguide.html#es-module-exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared @private nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,"1. Symbols are only exported if they are meant to be used outside the module.
需要跨文件分析，难以实现

2. Non-exported module-local symbols are not declared @private nor do their names end with an underscore.",,,,,,,,,,
3.4.2.1 Named vs default exports,previous,"Use named exports in all code. You can apply the export keyword to a declaration, or use the export {name}; syntax.

Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.

// Do not use default exports:
export default class Foo { ... } // BAD!
// Use named exports:
export class Foo { ... }
// Alternate style named exports:
class Foo { ... }

export {Foo};",1. use named exports instead of using default exports.,https://eslint.org/docs/v8.x/rules/no-restricted-exports,"Disallow specified names in exports

In a project, certain names may be disallowed from being used as exported names for various reasons.",no-restricted-exports,"By default, this rule doesn’t disallow any names. Only the names you specify in the configuration will be disallowed.

This rule has an object option:

""restrictedNamedExports"" is an array of strings, where each string is a name to be restricted.
""restrictDefaultExports"" is an object option with boolean properties to restrict certain default export declarations. The option works only if the restrictedNamedExports option does not contain the ""default"" value. The following properties are allowed:
direct: restricts export default declarations.
named: restricts export { foo as default }; declarations.
defaultFrom: restricts export { default } from 'foo'; declarations.
namedFrom: restricts export { foo as default } from 'foo'; declarations.
namespaceFrom: restricts export * as default from 'foo'; declarations.
restrictedNamedExports
Examples of incorrect code for the ""restrictedNamedExports"" option:

Open in Playground
/*eslint no-restricted-exports: [""error"", {
    ""restrictedNamedExports"": [""foo"", ""bar"", ""Baz"", ""a"", ""b"", ""c"", ""d"", ""e"", ""👍""]
}]*/

export const foo = 1;

export function bar() {}

export class Baz {}

const a = {};
export { a };

function someFunction() {}
export { someFunction as b };

export { c } from ""some_module"";

export { ""d"" } from ""some_module"";

export { something as e } from ""some_module"";

export { ""👍"" } from ""some_module"";























Examples of correct code for the ""restrictedNamedExports"" option:

Open in Playground
/*eslint no-restricted-exports: [""error"", {
    ""restrictedNamedExports"": [""foo"", ""bar"", ""Baz"", ""a"", ""b"", ""c"", ""d"", ""e"", ""👍""]
}]*/

export const quux = 1;

export function myFunction() {}

export class MyClass {}

const a = {};
export { a as myObject };

function someFunction() {}
export { someFunction };

export { c as someName } from ""some_module"";

export { ""d"" as "" d "" } from ""some_module"";

export { something } from ""some_module"";

export { ""👍"" as thumbsUp } from ""some_module"";























Default exports
By design, the ""restrictedNamedExports"" option doesn’t disallow export default declarations. If you configure ""default"" as a restricted name, that restriction will apply only to named export declarations.

Examples of additional incorrect code for the ""restrictedNamedExports"": [""default""] option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictedNamedExports"": [""default""] }]*/

function foo() {}

export { foo as default };





Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictedNamedExports"": [""default""] }]*/

export { default } from ""some_module"";



Examples of additional correct code for the ""restrictedNamedExports"": [""default""] option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictedNamedExports"": [""default"", ""foo""] }]*/

export default function foo() {}



restrictDefaultExports
This option allows you to restrict certain default declarations. The option works only if the restrictedNamedExports option does not contain the ""default"" value. This option accepts the following properties:

direct
Examples of incorrect code for the ""restrictDefaultExports"": { ""direct"": true } option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""direct"": true } }]*/

export default foo;



Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""direct"": true } }]*/

export default 42;



Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""direct"": true } }]*/

export default function foo() {}



named
Examples of incorrect code for the ""restrictDefaultExports"": { ""named"": true } option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""named"": true } }]*/

const foo = 123;

export { foo as default };





defaultFrom
Examples of incorrect code for the ""restrictDefaultExports"": { ""defaultFrom"": true } option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""defaultFrom"": true } }]*/

export { default } from 'foo';



Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""defaultFrom"": true } }]*/

export { default as default } from 'foo';



namedFrom
Examples of incorrect code for the ""restrictDefaultExports"": { ""namedFrom"": true } option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""namedFrom"": true } }]*/

export { foo as default } from 'foo';



namespaceFrom
Examples of incorrect code for the ""restrictDefaultExports"": { ""namespaceFrom"": true } option:

Open in Playground
/*eslint no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""namespaceFrom"": true } }]*/

export * as default from 'foo';","no-restricted-exports: [""error"", { ""restrictDefaultExports"": { ""direct"": true } }]",,,,,
3.4.2.2 Exporting static container classes and objects,previous,"Do not export container classes or objects with static methods or properties for the sake of namespacing.

// container.js
// Bad: Container is an exported class that has only static methods and fields.
export class Container {
  /** @return {number} */
  static bar() {
    return 1;
  }
}

/** @const {number} */
Container.FOO = 1;

Instead, export individual constants and functions:

/** @return {number} */
export function bar() {
  return 1;
}

export const /** number */ FOO = 1;",1. exported classes should not be containers,,,,,,,,,,
3.4.2.3 Mutability of exports,previous,"Exported variables must not be mutated outside of module initialization.

There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.

// Bad: both foo and mutateFoo are exported and mutated.
export let /** number */ foo = 0;

/**
 * Mutates foo.
 */
export function mutateFoo() {
  ++foo;
}

/**
 * @param {function(number): number} newMutateFoo
 */
export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
    foo = newMutateFoo(foo);
  };
}
// Good: Rather than export the mutable variables foo and mutateFoo directly,
// instead make them module scoped and export a getter for foo and a wrapper for
// mutateFooFunc.
let /** number */ foo = 0;
let /** function(number): number */ mutateFooFunc = foo => foo + 1;

/** @return {number} */
export function getFoo() {
  return foo;
}

export function mutateFoo() {
  foo = mutateFooFunc(foo);
}

/** @param {function(number): number} mutateFoo */
export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
}",1. Exported variables must not be mutated outside of module initialization.,,,,,,,,,,
3.4.2.4 export from,previous,"export from statements must not be line wrapped and are therefore an exception to the 80-column limit. This applies to both export from flavors.

export {specificName} from './other.js';
export * from './another.js';","1. export statements must not be line wrapped

2.the length of export statements can be greater than 80 columns","1. eslint cannot handle
2. https://eslint.org/docs/v8.x/rules/max-len","1.eslint cannot handle
2. Very long lines of code in any language can be difficult to read. In order to aid in readability and maintainability many coders have developed a convention to limit lines of code to X number of characters (traditionally 80 characters).",,"2.
""code"" (default 80) enforces a maximum line length
""tabWidth"" (default 4) specifies the character width for tab characters
""comments"" enforces a maximum line length for comments; defaults to value of code
""ignorePattern"" ignores lines matching a regular expression; can only match a single line and need to be double escaped when written in YAML or JSON
""ignoreComments"": true ignores all trailing comments and comments on their own line
""ignoreTrailingComments"": true ignores only trailing comments
""ignoreUrls"": true ignores lines that contain a URL
""ignoreStrings"": true ignores lines that contain a double-quoted or single-quoted string
""ignoreTemplateLiterals"": true ignores lines that contain a template literal
""ignoreRegExpLiterals"": true ignores lines that contain a RegExp literal","max-len: [""error"", { 
""code"":80,
""ignorePattern"": ""^export .*""
}
]",,,,,
3.4.3 Circular Dependencies in ES modules,https://google.github.io/styleguide/jsguide.html#es-module-circular-dependencies,"Do not create cycles between ES modules, even though the ECMAScript specification allows this. Note that it is possible to create cycles with both the import and export statements.

// a.js
import './b.js';
// b.js
import './a.js';

// `export from` can cause circular dependencies too!
export {x} from './c.js';
// c.js
import './b.js';

export let x;",跨文件分析检测循环依赖，难以实现,,,,,,,,,,
3.4.4 Interoperating with Closure,https://google.github.io/styleguide/jsguide.html#es-module-closure-interop,,,,,,,,,,,,
3.4.4.1 Referencing goog,previous,"To reference the Closure goog namespace, import Closure's goog.js.

import * as goog from '../closure/goog/goog.js';

const name = goog.require('a.name');

export const CONSTANT = name.compute();
goog.js exports only a subset of properties from the global goog that can be used in ES modules.","To reference the Closure goog namespace, import Closure's goog.js.
感觉是一个goog.require的调用方法说明，并没有说一个错误的调用方法是怎样的。",,,,,,,,,,
3.4.4.2 goog.require in ES modules,,"goog.require in ES modules works as it does in goog.module files. You can require any Closure namespace symbol (i.e., symbols created by goog.provide or goog.module) and goog.require will return the value.

import * as goog from '../closure/goog/goog.js';
import * as anEsModule from './anEsModule.js';

const GoogPromise = goog.require('goog.Promise');
const myNamespace = goog.require('my.namespace');",同上,,,,,,,,,,
3.4.4.3 Declaring Closure Module IDs in ES modules,,"goog.declareModuleId can be used within ES modules to declare a goog.module-like module ID. This means that this module ID can be goog.required, goog.module.getd, goog.forwardDeclare'd, etc. as if it were a goog.module that did not call goog.module.declareLegacyNamespace. It does not create the module ID as a globally available JavaScript symbol.

A goog.require (or goog.module.get) for a module ID from goog.declareModuleId will always return the module object (as if it was import *'d). As a result, the argument to goog.declareModuleId should always end with a lowerCamelCaseName.

Note: It is an error to call goog.module.declareLegacyNamespace in an ES module, it can only be called from goog.module files. There is no direct way to associate a legacy namespace with an ES module.

goog.declareModuleId should only be used to upgrade Closure files to ES modules in place, where named exports are used.

import * as goog from '../closure/goog.js';

goog.declareModuleId('my.esm');

export class Class {};","1. the argument to goog.declareModuleId should always end with a lowerCamelCaseName.

2.  goog.module.declareLegacyNamespace can only be called from goog.module files.

3. goog.declareModuleId should only be used to upgrade Closure files to ES modules in place, where named exports are used.",,,,,,,,,,
3.5 goog.setTestOnly,https://google.github.io/styleguide/jsguide.html#file-set-test-only,"In a goog.module file the goog.module statement may optionally be followed by a call to goog.setTestOnly().

In an ES module the import statements may optionally be followed by a call to goog.setTestOnly().","1. recognize goog.setTestOnly

2. goog.setTestOnly can be used after the import statement in an Es module 

3. goog.setTestOnly can be used after the goog.module statement in a goog.module file",,,,,,,,,,
