title,belongs to,description,example,appendix
ORM,Dependencies/ORM,We don’t use object-relational mapping libraries (ORMs) at GitLab (except ActiveRecord in Ruby on Rails). Projects can be structured with services to avoid them. pgx should be enough to interact with PostgreSQL databases.,,
Migrations,Dependencies/Migrations,"In the rare event of managing a hosted database, it’s necessary to use a migration system like ActiveRecord is providing. A simple library like Journey , designed to be used in `postgres` containers, can be deployed as long-running pods. New versions deploy a new pod, migrating the data automatically.",,
Testing frameworks,Testing/Testing frameworks,"We should not use any specific library or framework for testing, as the standard library provides already everything to get started. If there is a need for more sophisticated testing tools, the following external dependencies might be worth considering in case we decide to use a specific library or framework:
Testify 
httpexpect",,
Subtests,Testing/Subtests,Use subtests whenever possible to improve code readability and test output.,,
Better output in tests,Testing/Better output in tests,"When comparing expected and actual values in tests, use testify/require.Equal , testify/require.EqualError , testify/require.EqualValues , and others to improve readability when comparing structs, errors, large portions of text, or JSON documents:","type TestData struct {
    // ...
}

func FuncUnderTest() TestData {
    // ...
}

func Test(t *testing.T) {
    t.Run(""FuncUnderTest"", func(t *testing.T) {
        want := TestData{}
        got := FuncUnderTest()

        require.Equal(t, want, got) // note that expected value comes first, then comes the actual one (""diff"" semantics)
    })
}
",
Table-Driven Tests,Testing/Table-Driven Tests,Using Table-Driven Tests is generally good practice when you have multiple entries of inputs/outputs for the same function. Below are some guidelines one can follow when writing table-driven test. These guidelines are mostly extracted from Go standard library source code. Keep in mind it’s OK not to follow these guidelines when it makes sense.,,
Defining test cases,Testing/Table-Driven Tests/Defining test cases,"Each table entry is a complete test case with inputs and expected results, and sometimes with additional information such as a test name to make the test output easily readable.
Define a slice of anonymous struct inside of the test. 
Define a slice of anonymous struct outside of the test. 
Named structs for code reuse. 
Using
 
 map[string]struct{} .",,
Contents of the test case,Testing/Table-Driven Tests/Contents of the test case,"Ideally, each test case should have a field with a unique identifier to use for naming subtests. In the Go standard library, this is commonly the `namestring` field. 
Use `want` / `expect` / `actual` when you are specifying something in the test case that is used for assertion.",,
Variable names,Testing/Table-Driven Tests/Variable names,"Each table-driven test map/slice of struct can be named `tests` . 
When looping through `tests` the anonymous struct can be referred to as `tt` or `tc` . 
The description of the test can be referred to as `name` / `testName` / `tn` .",,
Benchmarks,Testing/Table-Driven Tests/Benchmarks,"Programs handling a lot of IO or complex operations should always include benchmarks , to ensure performance consistency over time.",,
Adding context,Error handling/Adding context,"Adding context before you return the error can be helpful, instead of just returning the error. This allows developers to understand what the program was trying to do when it entered the error state making it much easier to debug.
For example:","// Wrap the error
return nil, fmt.Errorf(""get cache %s: %w"", f.Name, err)

// Just add context
return nil, fmt.Errorf(""saving cache %s: %v"", f.Name, err)
","A few things to keep in mind when adding context:
Decide if you want to expose the underlying error to the caller. If so, use `%w` , if not, you can use `%v` . 
Don’t use words like `failed` , `error` , `didn't` . As it’s an error, the user already knows that something failed and this might lead to having strings like `failedxxfailedxxfailedxx` . Explain what failed instead. 
Error strings should not be capitalized or end with punctuation or a newline. You can use `golint` to check for this."
Naming,Error handling/Naming,"When using sentinel errors they should always be named like `ErrXxx` . 
When creating a new error type they should always be named like `XxxError` .",,
Checking Error types,Error handling/Checking Error types,"To check error equality don’t use `==` . Use errors.Is instead (for Go versions >= 1.13). 
To check if the error is of a certain type don’t use type assertion, use errors.As instead (for Go versions >= 1.13).",,
References for working with errors,Error handling/References for working with errors,"Go 1.13 errors . 
Programing with errors . 
Don’t just check errors, handle them gracefully .",,
CLIs,CLIs,"Every Go program is launched from the command line. cli is a convenient package to create command line apps. It should be used whether the project is a daemon or a simple CLI tool. Flags can be mapped to environment variables directly, which documents and centralizes at the same time all the possible command line interactions with the program. Don’t use `os.GetEnv` , it hides variables deep in the code.",,
LabKit,Libraries/LabKit,"LabKit is a place to keep common libraries for Go services. For examples using of using LabKit, see workhorse and gitaly . LabKit exports three related pieces of functionality:
gitlab.com/gitlab-org/labkit/correlation : for propagating and extracting correlation ids between services. 
gitlab.com/gitlab-org/labkit/tracing : for instrumenting Go libraries for distributed tracing. 
gitlab.com/gitlab-org/labkit/log : for structured logging using Logrus.
This gives us a thin abstraction over underlying implementations that is consistent across Workhorse, Gitaly, and possibly other Go servers. For example, in the case of `gitlab.com/gitlab-org/labkit/tracing` we can switch from using `Opentracing` directly to using `Zipkin` or the Go kit’s own tracing wrapper without changes to the application code, while still keeping the same consistent configuration mechanism (that is, the `GITLAB_TRACING` environment variable).",,
Structured (JSON) logging,Libraries/LabKit/Structured (JSON) logging,"Every binary ideally must have structured (JSON) logging in place as it helps with searching and filtering the logs. LabKit provides an abstraction over Logrus . We use structured logging in JSON format, because all our infrastructure assumes that. When using Logrus you can turn on structured logging by using the build in JSON formatter . This follows the same logging type we use in our Ruby applications .",,
How to use Logrus,Libraries/LabKit/How to use Logrus,"There are a few guidelines one should follow when using the Logrus package:
When printing an error use WithError . For example, `logrus.WithError(err).Error(""Failedtodosomething"")` . 
Since we use structured logging we can log fields in the context of that code path, such as the URI of the request using WithField or WithFields . For example, `logrus.WithField(""file"",""/app/go"").Info(""Openingdir"")` . If you have to log multiple keys, always use `WithFields` instead of calling `WithField` more than once.",,
Context,Libraries/LabKit/Context,"Since daemons are long-running applications, they should have mechanisms to manage cancellations, and avoid unnecessary resources consumption (which could lead to DDoS vulnerabilities). Go Context should be used in functions that can block and passed as the first parameter.",,
Dockerfiles,Dockerfiles,"Every project should have a `Dockerfile` at the root of their repository, to build and run the project. Since Go program are static binaries, they should not require any external dependency, and shells in the final image are useless. We encourage Multistage builds :
They let the user build the project with the right Go version and dependencies. 
They generate a small, self-contained image, derived from `Scratch` .
Generated Docker images should have the program at their `Entrypoint` to create portable commands. That way, anyone can run the image, and without parameters it displays its help message (if `cli` has been used).",,
Secure Team standards and style guidelines,Secure Team standards and style guidelines,The following are some style guidelines that are specific to the Secure Team.,,
Code style and format,Secure Team standards and style guidelines/Code style and format,"Use `goimports-localgitlab.com/gitlab-org` before committing. goimports is a tool that automatically formats Go source code using Gofmt , in addition to formatting import lines, adding missing ones and removing unreferenced ones. By using the `-localgitlab.com/gitlab-org` option, `goimports` groups locally referenced packages separately from external ones. See the imports section of the Code Review Comments page on the Go wiki for more details. Most editors/IDEs allow you to run commands before/after saving a file, you can set it up to run `goimports-localgitlab.com/gitlab-org` so that it’s applied to every file when saving.",,
Naming branches,Secure Team standards and style guidelines/Naming branches,"In addition to the GitLab branch name rules , use only the characters `a-z` , `0-9` or `-` in branch names. This restriction is because `goget` doesn’t work as expected when a branch name contains certain characters, such as a slash `/` :","$ go get -u gitlab.com/gitlab-org/security-products/analyzers/report/v3@some-user/some-feature

go get: gitlab.com/gitlab-org/security-products/analyzers/report/v3@some-user/some-feature: invalid version: version ""some-user/some-feature"" invalid: disallowed version string
",
Naming branches,Secure Team standards and style guidelines/Naming branches,"If a branch name contains a slash, it forces us to refer to the commit SHA instead, which is less flexible. For example:","$ go get -u gitlab.com/gitlab-org/security-products/analyzers/report/v3@5c9a4279fa1263755718cf069d54ba8051287954

go: downloading gitlab.com/gitlab-org/security-products/analyzers/report/v3 v3.15.3-0.20221012172609-5c9a4279fa12
...
",
Initializing slices,Secure Team standards and style guidelines/Initializing slices,"If initializing a slice, provide a capacity where possible to avoid extra allocations.
Don’t:","var s2 []string
for _, val := range s1 {
    s2 = append(s2, val)
}
",
Initializing slices,Secure Team standards and style guidelines/Initializing slices,Do:,"s2 := make([]string, 0, len(s1))
for _, val := range s1 {
    s2 = append(s2, val)
}
","If no capacity is passed to `make` when creating a new slice, `append` will continuously resize the slice’s backing array if it cannot hold the values. Providing the capacity ensures that allocations are kept to a minimum. It’s recommended that the prealloc golanci-lint rule automatically check for this."
Analyzer Tests,Secure Team standards and style guidelines/Analyzer Tests,"The conventional Secure analyzer has a convert
 
 function that converts SAST/DAST scanner reports into GitLab Security Reports . When writing tests for the `convert` function, we should make use of test fixtures using a `testdata` directory at the root of the analyzer’s repository. The `testdata` directory should contain two subdirectories: `expect` and `reports` . The `reports` directory should contain sample SAST/DAST scanner reports which are passed into the `convert` function during the test setup. The `expect` directory should contain the expected GitLab Security Report that the `convert` returns. See Secret Detection for an example .
If the scanner report is small, less than 35 lines, then feel free to inline the report rather than use a `testdata` directory.",,
Test Diffs,Secure Team standards and style guidelines/Analyzer Tests/Test Diffs,"The go-cmp package should be used when comparing large structs in tests. It makes it possible to output a specific diff where the two structs differ, rather than seeing the whole of both structs printed out in the test logs. Here is a small example:","package main

import (
  ""reflect""
  ""testing""

  ""github.com/google/go-cmp/cmp""
)

type Foo struct {
  Desc  Bar
  Point Baz
}

type Bar struct {
  A string
  B string
}

type Baz struct {
  X int
  Y int
}

func TestHelloWorld(t *testing.T) {
  want := Foo{
    Desc:  Bar{A: ""a"", B: ""b""},
    Point: Baz{X: 1, Y: 2},
  }

  got := Foo{
    Desc:  Bar{A: ""a"", B: ""b""},
    Point: Baz{X: 2, Y: 2},
  }

  t.Log(""reflect comparison:"")
  if !reflect.DeepEqual(got, want) {
    t.Errorf(""Wrong result. want:\n%v\nGot:\n%v"", want, got)
  }

  t.Log(""cmp comparison:"")
  if diff := cmp.Diff(want, got); diff != """" {
    t.Errorf(""Wrong result. (-want +got):\n%s"", diff)
  }
}
",
Test Diffs,Secure Team standards and style guidelines/Analyzer Tests/Test Diffs,"The output demonstrates why `go-cmp` is far superior when comparing large structs. Even though you could spot the difference with this small difference, it quickly gets unwieldy as the data grows.","  main_test.go:36: reflect comparison:
  main_test.go:38: Wrong result. want:
      {{a b} {1 2}}
      Got:
      {{a b} {2 2}}
  main_test.go:41: cmp comparison:
  main_test.go:43: Wrong result. (-want +got):
        main.Foo{
              Desc: {A: ""a"", B: ""b""},
              Point: main.Baz{
      -               X: 1,
      +               X: 2,
                      Y: 2,
              },
        }
",Return to Development documentation .
