title,belongs to,description,example,appendix
Limit maximum field call count,Limits/Limit maximum field call count,"In some cases, you want to prevent the evaluation of a specific field on multiple parent nodes because it results in an N+1 query problem and there is no optimal solution. This should be considered an option of last resort, to be used only when methods such as lookahead to preload associations , or using batching have been considered.
For example:","# This usage is expected.
query {
  project {
    environments
  }
}

# This usage is NOT expected.
# It results in N+1 query problem. EnvironmentsResolver can't use GraphQL batch loader in favor of GraphQL pagination.
query {
  projects {
    nodes {
      environments
    }
  }
}
",
Limit maximum field call count,Limits/Limit maximum field call count,"To prevent this, you can use the `Gitlab::Graphql::Limit::FieldCallCount` extension on the field:","# This allows maximum 1 call to the `environments` field. If the field is evaluated on more than one node,
# it raises an error.
field :environments do
        extension(::Gitlab::Graphql::Limit::FieldCallCount, limit: 1)
      end
",
Limit maximum field call count,Limits/Limit maximum field call count,or you can apply the extension in a resolver class:,"module Resolvers
  class EnvironmentsResolver < BaseResolver
    extension(::Gitlab::Graphql::Limit::FieldCallCount, limit: 1)
    # ...
  end
end
",
Limit maximum field call count,Limits/Limit maximum field call count,"When you add this limit, make sure that the affected field’s `description` is also updated accordingly. For example,","field :environments,
      description: 'Environments of the project. This field can only be resolved for one project in any single request.'
",
Breaking changes,Breaking changes,"The GitLab GraphQL API is versionless which means developers must familiarize themselves with our Deprecation and Removal process .
Breaking changes are:
Removing or renaming a field, argument, enum value, or mutation. 
Changing the type or type name of an argument. The type of an argument is declared by the client when using variables , and a change would cause a query using the old type name to be rejected by the API. 
Changing the scalar type of a field or enum value where it results in a change to how the value serializes to JSON. For example, a change from a JSON String to a JSON Number, or a change to how a String is formatted. A change to another object type can be allowed so long as all scalar type fields of the object continue to serialize in the same way. 
Raising the complexity of a field or complexity multipliers in a resolver. 
Changing a field from being not nullable ( `null:false` ) to nullable ( `null:true` ), as discussed in Nullable fields . 
Changing an argument from being optional ( `required:false` ) to being required ( `required:true` ). 
Changing the max page size of a connection. 
Lowering the global limits for query complexity and depth. 
Anything else that can result in queries hitting a limit that previously was allowed.
See the deprecating schema items section for how to deprecate items.",,
Breaking change exemptions,Breaking changes/Breaking change exemptions,See the GraphQL API breaking change exemptions documentation .,,
Global IDs,Global IDs,"The GitLab GraphQL API uses Global IDs (i.e: `""gid://gitlab/MyObject/123""` ) and never database primary key IDs.
Global ID is a convention used for caching and fetching in client-side libraries.
See also:
Exposing Global IDs . 
Mutation arguments . 
Deprecating Global IDs . 
Customer-facing Global ID documentation .
We have a custom scalar type ( `Types::GlobalIDType` ) which should be used as the type of input and output arguments when the value is a `GlobalID` . The benefits of using this type instead of `ID` are:
it validates that the value is a `GlobalID` 
it parses it into a `GlobalID` before passing it to user code 
it can be parameterized on the type of the object (for example, `GlobalIDType[Project]` ) which offers even better validation and security.
Consider using this type for all new arguments and result types. Remember that it is perfectly possible to parameterize this type with a concern or a supertype, if you want to accept a wider range of objects (such as `GlobalIDType[Issuable]` vs `GlobalIDType[Issue]` ).",,
Optimizations,Optimizations,"By default, GraphQL tends to introduce N+1 problems unless you actively try to minimize them.
For stability and scalability, you must ensure that our queries do not suffer from N+1 performance issues.
The following are a list of tools to help you to optimize your GraphQL code:
Look ahead allows you to preload data based on which fields are selected in the query. 
Batch loading allows you batch database queries together to be executed in one statement. 
BatchModelLoader is the recommended way to lookup records by ID to leverage batch loading. 
before_connection_authorization allows you to address N+1 problems specific to type authorization permission checks. 
Limit maximum field call count allows you to restrict how many times a field can return data where optimizations cannot be improved.",,
How to see N+1 problems in development,How to see N+1 problems in development,"N+1 problems can be discovered during development of a feature by:
Tailing `development.log` while you execute GraphQL queries that return collections of data. Bullet may help. 
Observing the performance bar if executing queries in the GitLab UI. 
Adding a request spec that asserts there are no (or limited) N+1 problems with the feature.",,
Types,Types,"We use a code-first schema, and we declare what type everything is in Ruby.
For example, `app/graphql/types/issue_type.rb` :","graphql_name 'Issue'

field :iid, GraphQL::Types::ID, null: true
field :title, GraphQL::Types::String, null: true

# we also have a method here that we've defined, that extends `field`
markdown_field :title_html, null: true
field :description, GraphQL::Types::String, null: true
markdown_field :description_html, null: true
",
Types,Types,"We give each type a name (in this case `Issue` ).
The `iid` , `title` and `description` are scalar GraphQL types. `iid` is a `GraphQL::Types::ID` , a special string type that signifies a unique ID. `title` and `description` are regular `GraphQL::Types::String` types.
The old scalar types `GraphQL:ID` , `GraphQL::INT_TYPE` , `GraphQL::STRING_TYPE` , `GraphQL:BOOLEAN_TYPE` , and `GraphQL::FLOAT_TYPE` are no longer allowed. Use `GraphQL::Types::ID` , `GraphQL::Types::Int` , `GraphQL::Types::String` , `GraphQL::Types::Boolean` , and `GraphQL::Types::Float` .
When exposing a model through the GraphQL API, we do so by creating a new type in `app/graphql/types` . You can also declare custom GraphQL data types for scalar data types (for example `TimeType` ).
When exposing properties in a type, make sure to keep the logic inside the definition as minimal as possible. Instead, consider moving any logic into a presenter:","class Types::MergeRequestType < BaseObject
  present_using MergeRequestPresenter

  name 'MergeRequest'
end
","An existing presenter could be used, but it is also possible to create a new presenter specifically for GraphQL.
The presenter is initialized using the object resolved by a field, and the context."
Nullable fields,Types/Nullable fields,"GraphQL allows fields to be “nullable” or “non-nullable”. The former means that `null` may be returned instead of a value of the specified type. In general , you should prefer using nullable fields to non-nullable ones, for the following reasons:
It’s common for data to switch from required to not-required, and back again 
Even when there is no prospect of a field becoming optional, it may not be available at query time 
For instance, the `content` of a blob may need to be looked up from Gitaly 
If the `content` is nullable, we can return a partial response, instead of failing the whole query 
Changing from a non-nullable field to a nullable field is difficult with a versionless schema
Non-nullable fields should only be used when a field is required, very unlikely to become optional in the future, and straightforward to calculate. An example would be `id` fields.
A non-nullable GraphQL schema field is an object type followed by the exclamation point (bang) `!` . Here’s an example from the `gitlab_schema.graphql` file:","  id: ProjectID!
",
Nullable fields,Types/Nullable fields,Here’s an example of a non-nullable GraphQL array:,"
  errors: [String!]!
","Further reading:
GraphQL Best Practices Guide . 
GraphQL documentation on Object types and fields . 
Using nullability in GraphQL"
Exposing Global IDs,Types/Exposing Global IDs,"In keeping with the GitLab use of Global IDs , always convert database primary key IDs into Global IDs when you expose them.
All fields named `id` are converted automatically into the object’s Global ID.
Fields that are not named `id` need to be manually converted. We can do this using Gitlab::GlobalID.build , or by calling `#to_global_id` on an object that has mixed in the `GlobalID::Identification` module.
Using an example from Types::Notes::DiscussionType :","field :reply_id, Types::GlobalIDType[Discussion]

def reply_id
  Gitlab::GlobalId.build(object, id: object.reply_id)
end
",
Connection types,Types/Connection types,"note 
For specifics on implementation, see Pagination implementation .
GraphQL uses cursor based pagination to expose collections of items. This provides the clients with a lot of flexibility while also allowing the backend to use different pagination models.
To expose a collection of resources we can use a connection type. This wraps the array with default pagination fields. For example a query for project-pipelines could look like this:","query($project_path: ID!) {
  project(fullPath: $project_path) {
    pipelines(first: 2) {
      pageInfo {
        hasNextPage
        hasPreviousPage
      }
      edges {
        cursor
        node {
          id
          status
        }
      }
    }
  }
}
",
Connection types,Types/Connection types,"This would return the first 2 pipelines of a project and related pagination information, ordered by descending ID. The returned data would look like this:","{
  ""data"": {
    ""project"": {
      ""pipelines"": {
        ""pageInfo"": {
          ""hasNextPage"": true,
          ""hasPreviousPage"": false
        },
        ""edges"": [
          {
            ""cursor"": ""Nzc="",
            ""node"": {
              ""id"": ""gid://gitlab/Pipeline/77"",
              ""status"": ""FAILED""
            }
          },
          {
            ""cursor"": ""Njc="",
            ""node"": {
              ""id"": ""gid://gitlab/Pipeline/67"",
              ""status"": ""FAILED""
            }
          }
        ]
      }
    }
  }
}
",
Connection types,Types/Connection types,"To get the next page, the cursor of the last known element could be passed:","query($project_path: ID!) {
  project(fullPath: $project_path) {
    pipelines(first: 2, after: ""Njc="") {
      pageInfo {
        hasNextPage
        hasPreviousPage
      }
      edges {
        cursor
        node {
          id
          status
        }
      }
    }
  }
}
","To ensure that we get consistent ordering, we append an ordering on the primary key, in descending order. The primary key is usually `id` , so we add `order(id::desc)` to the end of the relation. A primary key must be available on the underlying table."
Shortcut fields,Types/Connection types/Shortcut fields,"Sometimes it can seem straightforward to implement a “shortcut field”, having the resolver return the first of a collection if no parameters are passed. These “shortcut fields” are discouraged because they create maintenance overhead. They need to be kept in sync with their canonical field, and deprecated or modified if their canonical field changes. Use the functionality the framework provides unless there is a compelling reason to do otherwise.
For example, instead of `latest_pipeline` , use `pipelines(last:1)` .",,
Page size limit,Types/Connection types/Page size limit,"By default, the API returns at most a maximum number of records defined in app/graphql/gitlab_schema.rb per page in a connection and this is also the default number of records returned per page if no limiting arguments ( `first:` or `last:` ) are provided by a client.
The `max_page_size` argument can be used to specify a different page size limit for a connection.
caution 
It’s better to change the frontend client, or product requirements, to not need large amounts of records per page than it is to raise the `max_page_size` , as the default is set to ensure the GraphQL API remains performant.
For example:","field :tags,
  Types::ContainerRepositoryTagType.connection_type,
  null: true,
  description: 'Tags of the container repository',
  max_page_size: 20
",
Field complexity,Types/Connection types/Field complexity,"The GitLab GraphQL API uses a complexity score to limit performing overly complex queries. Complexity is described in our client documentation on the topic.
Complexity limits are defined in app/graphql/gitlab_schema.rb .
By default, fields add `1` to a query’s complexity score. This can be overridden by providing a custom
 
 complexity value for a field.
Developers should specify higher complexity for fields that cause more work to be performed by the server to return data. Fields that represent data that can be returned with little-to-no work , for example in most cases; `id` or `title` , can be given a complexity of `0` .",,
calls_gitaly,Types/Connection types/calls_gitaly,"Fields that have the potential to perform a Gitaly call when resolving must be marked as such by passing `calls_gitaly:true` to `field` when defining it.
For example:","field :blob, type: Types::Snippets::BlobType,
      description: 'Snippet blob',
      null: false,
      calls_gitaly: true
",
calls_gitaly,Types/Connection types/calls_gitaly,"This increments the complexity
 
 score of the field by `1` .
If a resolver calls Gitaly, it can be annotated with `BaseResolver.calls_gitaly!` . This passes `calls_gitaly:true` to any field that uses this resolver.
For example:","class BranchResolver < BaseResolver
  type ::Types::BranchType, null: true
  calls_gitaly!

  argument name: ::GraphQL::Types::String, required: true

  def resolve(name:)
    object.branch(name)
  end
end
","Then when we use it, any field that uses `BranchResolver` has the correct value for `calls_gitaly:` ."
Exposing permissions for a type,Types/Connection types/Exposing permissions for a type,"To expose permissions the current user has on a resource, you can call the `expose_permissions` passing in a separate type representing the permissions for the resource.
For example:","module Types
  class MergeRequestType < BaseObject
    expose_permissions Types::MergeRequestPermissionsType
  end
end
",
Exposing permissions for a type,Types/Connection types/Exposing permissions for a type,"The permission type inherits from `BasePermissionType` which includes some helper methods, that allow exposing permissions as non-nullable booleans:","class MergeRequestPermissionsType < BasePermissionType
  graphql_name 'MergeRequestPermissions'

  present_using MergeRequestPresenter

  abilities :admin_merge_request, :update_merge_request, :create_note

  ability_field :resolve_note,
                description: 'Indicates the user can resolve discussions on the merge request.'
  permission_field :push_to_source_branch, method: :can_push_to_source_branch?
end
","`permission_field` 
: Acts the same as `graphql-ruby` ’s `field` method but setting a default description and type and making them non-nullable. These options can still be overridden by adding them as arguments. 
`ability_field` 
: Expose an ability defined in our policies. This behaves the same way as `permission_field` and the same arguments can be overridden. 
`abilities` 
: Allows exposing several abilities defined in our policies at once. The fields for these must all be non-nullable booleans with a default description."
Feature flags,Feature flags,"You can implement feature flags in GraphQL to toggle:
The return value of a field. 
The behavior of an argument or mutation.
This can be done in a resolver, in the type, or even in a model method, depending on your preference and situation.
note 
It’s recommended that you also mark the item as Alpha while it is behind a feature flag. This signals to consumers of the public GraphQL API that the field is not meant to be used yet. You can also change or remove Alpha items at any time without needing to deprecate them. When the flag is removed, “release” the schema item by removing its Alpha property to make it public.",,
Descriptions for feature-flagged items,Feature flags/Descriptions for feature-flagged items,"When using a feature flag to toggle the value or behavior of a schema item, the `description` of the item must:
State that the value or behavior can be toggled by a feature flag. 
Name the feature flag. 
State what the field returns, or behavior is, when the feature flag is disabled (or enabled, if more appropriate).",,
Feature-flagged field,Feature flags/Examples of using feature flags/Feature-flagged field,A field value is toggled based on the feature flag state. A common use is to return `null` if the feature flag is disabled:,"field :foo, GraphQL::Types::String, null: true,
      alpha: { milestone: '10.0' },
      description: 'Some test field. Returns `null`' \
                   'if `my_feature_flag` feature flag is disabled.'

def foo
  object.foo if Feature.enabled?(:my_feature_flag, object)
end
",
Feature-flagged argument,Feature flags/Examples of using feature flags/Feature-flagged argument,"An argument can be ignored, or have its value changed, based on the feature flag state. A common use is to ignore the argument when a feature flag is disabled:","argument :foo, type: GraphQL::Types::String, required: false,
         alpha: { milestone: '10.0' },
         description: 'Some test argument. Is ignored if ' \
                      '`my_feature_flag` feature flag is disabled.'

def resolve(args)
  args.delete(:foo) unless Feature.enabled?(:my_feature_flag, object)
  # ...
end
",
Feature-flagged mutation,Feature flags/Examples of using feature flags/Feature-flagged mutation,A mutation that cannot be performed due to a feature flag state is handled as a non-recoverable mutation error . The error is returned at the top level:,"description 'Mutates an object. Does not mutate the object if ' \
            '`my_feature_flag` feature flag is disabled.'

def resolve(id: )
  object = authorized_find!(id: id)

  raise_resource_not_available_error! '`my_feature_flag` feature flag is disabled.' \
    if Feature.disabled?(:my_feature_flag, object)
  # ...
end
",
Deprecating schema items,Deprecating schema items,"The GitLab GraphQL API is versionless, which means we maintain backwards compatibility with older versions of the API with every change.
Rather than removing fields, arguments, enum values , or mutations , they must be deprecated instead.
The deprecated parts of the schema can then be removed in a future release in accordance with the GitLab deprecation process .
To deprecate a schema item in GraphQL:
Create a deprecation issue for the item. 
Mark the item as deprecated in the schema.
See also:
Aliasing and deprecating mutations . 
Marking schema items as Alpha . 
How to filter Kibana for queries that used deprecated fields .",,
Create a deprecation issue,Deprecating schema items/Create a deprecation issue,"Every GraphQL deprecation should have a deprecation issue created using the
 
 Deprecations
 
 issue template to track its deprecation and removal.
Apply these two labels to the deprecation issue:
`~GraphQL` 
`~deprecation`",,
Mark the item as deprecated,Deprecating schema items/Mark the item as deprecated,"Fields, arguments, enum values, and mutations are deprecated using the `deprecated` property. The value of the property is a `Hash` of:
`reason` - Reason for the deprecation. 
`milestone` - Milestone that the field was deprecated.
Example:","field :token, GraphQL::Types::String, null: true,
      deprecated: { reason: 'Login via token has been removed', milestone: '10.0' },
      description: 'Token for login.'
","The original `description` of the things being deprecated should be maintained, and should not be updated to mention the deprecation. Instead, the `reason` is appended to the `description` ."
Deprecation reason style guide,Deprecating schema items/Mark the item as deprecated/Deprecation reason style guide,"Where the reason for deprecation is due to the field, argument, or enum value being replaced, the `reason` must indicate the replacement. For example, the following is a `reason` for a replaced field:","Use `otherFieldName`
",
Deprecation reason style guide,Deprecating schema items/Mark the item as deprecated/Deprecation reason style guide,Examples:,"field :designs, ::Types::DesignManagement::DesignCollectionType, null: true,
      deprecated: { reason: 'Use `designCollection`', milestone: '10.0' },
      description: 'The designs associated with this issue.',

module Types
  class TodoStateEnum < BaseEnum
    value 'pending', deprecated: { reason: 'Use PENDING', milestone: '10.0' }
    value 'done', deprecated: { reason: 'Use DONE', milestone: '10.0' }
    value 'PENDING', value: 'pending'
    value 'DONE', value: 'done'
  end
end
","If the field, argument, or enum value being deprecated is not being replaced, a descriptive deprecation `reason` should be given."
Deprecate Global IDs,Deprecating schema items/Mark the item as deprecated/Deprecate Global IDs,"We use the rails/globalid gem to generate and parse Global IDs, so as such they are coupled to model names. When we rename a model, its Global ID changes.
If the Global ID is used as an argument type anywhere in the schema, then the Global ID change would typically constitute a breaking change.
To continue to support clients using the old Global ID argument, we add a deprecation to `Gitlab::GlobalId::Deprecations` .
note 
If the Global ID is only 
exposed as a field then we do not need to deprecate it. We consider the change to the way a Global ID is expressed in a field to be backwards-compatible. We expect that clients don’t parse these values: they are meant to be treated as opaque tokens, and any structure in them is incidental and not to be relied on.
Example scenario:
This example scenario is based on this merge request .
A model named `PrometheusService` is to be renamed `Integrations::Prometheus` . The old model name is used to create a Global ID type that is used as an argument for a mutation:","# Mutations::UpdatePrometheus:

argument :id, Types::GlobalIDType[::PrometheusService],
              required: true,
              description: ""The ID of the integration to mutate.""
",
Deprecate Global IDs,Deprecating schema items/Mark the item as deprecated/Deprecate Global IDs,"Clients call the mutation by passing a Global ID string that looks like `""gid://gitlab/PrometheusService/1""` , named as `PrometheusServiceID` , as the `input.id` argument:","mutation updatePrometheus($id: PrometheusServiceID!, $active: Boolean!) {
  prometheusIntegrationUpdate(input: { id: $id, active: $active }) {
    errors
    integration {
      active
    }
  }
}
",
Deprecate Global IDs,Deprecating schema items/Mark the item as deprecated/Deprecate Global IDs,"We rename the model to `Integrations::Prometheus` , and then update the codebase with the new name. When we come to update the mutation, we pass the renamed model to `Types::GlobalIDType[]` :","# Mutations::UpdatePrometheus:

argument :id, Types::GlobalIDType[::Integrations::Prometheus],
              required: true,
              description: ""The ID of the integration to mutate.""
",
Deprecate Global IDs,Deprecating schema items/Mark the item as deprecated/Deprecate Global IDs,"This would cause a breaking change to the mutation, as the API now rejects clients who pass an `id` argument as `""gid://gitlab/PrometheusService/1""` , or that specify the argument type as `PrometheusServiceID` in the query signature.
To allow clients to continue to interact with the mutation unchanged, edit the `DEPRECATIONS` constant in `Gitlab::GlobalId::Deprecations` and add a new `Deprecation` to the array:","DEPRECATIONS = [
  Gitlab::Graphql::DeprecationsBase::NameDeprecation.new(old_name: 'PrometheusService', new_name: 'Integrations::Prometheus', milestone: '14.0')
].freeze
",
Deprecate Global IDs,Deprecating schema items/Mark the item as deprecated/Deprecate Global IDs,"Then follow our regular deprecation process . To later remove support for the former argument style, remove the `Deprecation` :","DEPRECATIONS = [].freeze
","During the deprecation period, the API accepts either of these formats for the argument value:
`""gid://gitlab/PrometheusService/1""` 
`""gid://gitlab/Integrations::Prometheus/1""`
The API also accepts these types in the query signature for the argument:
`PrometheusServiceID` 
`IntegrationsPrometheusID`
note 
Although queries that use the old type ( `PrometheusServiceID` in this example) are considered valid and executable by the API, validator tools consider them to be invalid. They are considered invalid because we are deprecating using a bespoke method outside of the @deprecated
 
 directive , so validators are not aware of the support.
The documentation mentions that the old Global ID style is now deprecated."
Mark schema items as Alpha,Mark schema items as Alpha,"You can mark GraphQL schema items (fields, arguments, enum values, and mutations) as Alpha .
An item marked as Alpha is exempt from the deprecation process and can be removed at any time without notice. Mark an item as Alpha when it is subject to change and not ready for public use.
note 
Only mark new items as Alpha. Never mark existing items as Alpha because they’re already public.
To mark a schema item as Alpha, use the `alpha:` keyword. You must provide the `milestone:` that introduced the Alpha item.
For example:","field :token, GraphQL::Types::String, null: true,
      alpha: { milestone: '10.0' },
      description: 'Token for login.'
",
Mark schema items as Alpha,Mark schema items as Alpha,"Similarly, you can also mark an entire mutation as Alpha by updating where the mutation is mounted in `app/graphql/types/mutation_type.rb` :","mount_mutation Mutations::Ci::JobArtifact::BulkDestroy, alpha: { milestone: '15.10' }
","Alpha GraphQL items is a custom GitLab feature that leverages GraphQL deprecations. An Alpha item appears as deprecated in the GraphQL schema. Like all deprecated schema items, you can test an Alpha field in the interactive GraphQL explorer (GraphiQL). However, be aware that the GraphiQL autocomplete editor doesn’t suggest deprecated fields.
The item shows as Alpha in our generated GraphQL documentation and its GraphQL schema description."
Enums,Enums,"GitLab GraphQL enums are defined in `app/graphql/types` . When defining new enums, the following rules apply:
Values must be uppercase. 
Class names must end with the string `Enum` . 
The `graphql_name` must not contain the string `Enum` .
For example:","module Types
  class TrafficLightStateEnum < BaseEnum
    graphql_name 'TrafficLightState'
    description 'State of a traffic light'

    value 'RED', description: 'Drivers must stop.'
    value 'YELLOW', description: 'Drivers must stop when it is safe to.'
    value 'GREEN', description: 'Drivers can start or keep driving.'
  end
end
",
Enums,Enums,"If the enum is used for a class property in Ruby that is not an uppercase string, you can provide a `value:` option that adapts the uppercase value.
In the following example:
GraphQL inputs of `OPENED` are converted to `'opened'` . 
Ruby values of `'opened'` are converted to `""OPENED""` in GraphQL responses.","module Types
  class EpicStateEnum < BaseEnum
    graphql_name 'EpicState'
    description 'State of a GitLab epic'

    value 'OPENED', value: 'opened', description: 'An open Epic.'
    value 'CLOSED', value: 'closed', description: 'A closed Epic.'
  end
end
","Enum values can be deprecated using the deprecated
 
 keyword ."
Defining GraphQL enums dynamically from Rails enums,Enums/Defining GraphQL enums dynamically from Rails enums,"If your GraphQL enum is backed by a Rails enum , then consider using the Rails enum to dynamically define the GraphQL enum values. Doing so binds the GraphQL enum values to the Rails enum definition, so if values are ever added to the Rails enum then the GraphQL enum automatically reflects the change.
Example:","module Types
  class IssuableSeverityEnum < BaseEnum
    graphql_name 'IssuableSeverity'
    description 'Incident severity'

    ::IssuableSeverity.severities.each_key do |severity|
      value severity.upcase, value: severity, description: ""#{severity.titleize} severity.""
    end
  end
end
",
JSON,JSON,"When data to be returned by GraphQL is stored as JSON , we should continue to use GraphQL types whenever possible. Avoid using the `GraphQL::Types::JSON` type unless the JSON data returned is truly unstructured.
If the structure of the JSON data varies, but is one of a set of known possible structures, use a union . An example of the use of a union for this purpose is !30129 .
Field names can be mapped to hash data keys using the `hash_key:` keyword if needed.
For example, given the following JSON data:","{
  ""title"": ""My chart"",
  ""data"": [
    { ""x"": 0, ""y"": 1 },
    { ""x"": 1, ""y"": 1 },
    { ""x"": 2, ""y"": 2 }
  ]
}
",
JSON,JSON,We can use GraphQL types like this:,"module Types
  class ChartType < BaseObject
    field :title, GraphQL::Types::String, null: true, description: 'Title of the chart.'
    field :data, [Types::ChartDatumType], null: true, description: 'Data of the chart.'
  end
end

module Types
  class ChartDatumType < BaseObject
    field :x, GraphQL::Types::Int, null: true, description: 'X-axis value of the chart datum.'
    field :y, GraphQL::Types::Int, null: true, description: 'Y-axis value of the chart datum.'
  end
end
",
Descriptions,Descriptions,"All fields and arguments must have descriptions .
A description of a field or argument is given using the `description:` keyword. For example:","field :id, GraphQL::Types::ID, description: 'ID of the issue.'
field :confidential, GraphQL::Types::Boolean, description: 'Indicates the issue is confidential.'
field :closed_at, Types::TimeType, description: 'Timestamp of when the issue was closed.'
","You can view descriptions of fields and arguments in:
The GraphiQL explorer . 
The static GraphQL API reference ."
Language and punctuation,Descriptions/Description style guide/Language and punctuation,"To describe fields and arguments, use `{x}ofthe{y}` where possible, where `{x}` is the item you’re describing, and `{y}` is the resource it applies to. For example:","ID of the issue.

Author of the epics.
",
Language and punctuation,Descriptions/Description style guide/Language and punctuation,"For arguments that sort or search, start with the appropriate verb. To indicate the specified values, for conciseness, you can use `this` instead of `thegiven` or `thespecified` . For example:","Sort issues by this criteria.
","Do not start descriptions with `The` or `A` , for consistency and conciseness.
End all descriptions with a period ( `.` )."
Booleans,Descriptions/Description style guide/Booleans,"For a boolean field ( `GraphQL::Types::Boolean` ), start with a verb that describes what it does. For example:","Indicates the issue is confidential.
",
Booleans,Descriptions/Description style guide/Booleans,"If necessary, provide the default. For example:","Sets the issue to confidential. Default is false.
",
Sort enums,Descriptions/Description style guide/Sort enums,Enums for sorting should have the description `'Valuesforsorting{x}.'` . For example:,"Values for sorting container repositories.
",
Types::TimeType field description,Descriptions/Description style guide/Types::TimeType field description,"For `Types::TimeType` GraphQL fields, include the word `timestamp` . This lets the reader know that the format of the property is `Time` , rather than just `Date` .
For example:","field :closed_at, Types::TimeType, description: 'Timestamp of when the issue was closed.'
",
copy_field_description helper,Descriptions/Description style guide/copy_field_description helper,"Sometimes we want to ensure that two descriptions are always identical. For example, to keep a type field description the same as a mutation argument when they both represent the same property.
Instead of supplying a description, we can use the `copy_field_description` helper, passing it the type, and field name to copy the description of.
Example:","argument :title, GraphQL::Types::String,
          required: false,
          description: copy_field_description(Types::MergeRequestType, :title)
",
Documentation references,Descriptions/Description style guide/Documentation references,"Sometimes we want to refer to external URLs in our descriptions. To make this easier, and provide proper markup in the generated reference documentation, we provide a `see` property on fields. For example:","field :genus,
      type: GraphQL::Types::String,
      null: true,
      description: 'A taxonomic genus.'
      see: { 'Wikipedia page on genera' => 'https://wikipedia.org/wiki/Genus' }
",
Documentation references,Descriptions/Description style guide/Documentation references,This renders in our documentation as:,"A taxonomic genus. See: [Wikipedia page on genera](https://wikipedia.org/wiki/Genus)
","Multiple documentation references can be provided. The syntax for this property is a `HashMap` where the keys are textual descriptions, and the values are URLs."
Subscription tier badges,Descriptions/Description style guide/Subscription tier badges,"If a field or argument is available to higher subscription tiers than the other fields, add the tier badge inline.
For example:","description: '**(ULTIMATE ALL)** Full path of a custom template.'
",
Authorization,Authorization,See: GraphQL Authorization,,
Resolvers,Resolvers,"We define how the application serves the response using resolvers stored in the `app/graphql/resolvers` directory. The resolver provides the actual implementation logic for retrieving the objects in question.
To find objects to display in a field, we can add resolvers to `app/graphql/resolvers` .
Arguments can be defined in the resolver in the same way as in a mutation. See the Arguments section.
To limit the amount of queries performed, we can use BatchLoader .",,
