title,belongs to,description,example,appendix
Directives,Directives,Shorthand `:` is preferable over `v-bind`,"// bad
<component v-bind:class=""btn""/>

// good
<component :class=""btn""/>
",
Directives,Directives,Shorthand `#` is preferable over `v-slot`,"// bad
<template v-slot:header></template>

// good
<template #header></template>
",
Closing tags,Closing tags,Prefer self-closing component tags,"// bad
<component></component>

// good
<component />
",
Component usage within templates,Component usage within templates,Prefer a component’s kebab-cased name over other styles when using it in a template,"// bad
<MyComponent />

// good
<my-component />
",
Ordering,Ordering,Tag order in `.vue` file,"<script>
  // ...
</script>

<template>
  // ...
</template>

// We don't use scoped styles but there are few instances of this
<style>
  // ...
</style>
",Properties in a Vue Component: Check order of properties in components rule .
:key,:key,"When using `v-for` you need to provide a unique 
`:key` attribute for each item.
If the elements of the array being iterated have an unique `id` it is advised to use it:","<div
  v-for=""item in items""
  :key=""item.id""
>
  <!-- content -->
</div>
",
:key,:key,"When the elements being iterated don’t have a unique ID, you can use the array index as the `:key` attribute","<div
  v-for=""(item, index) in items""
  :key=""index""
>
  <!-- content -->
</div>
",
:key,:key,"When using `v-for` with `template` and there is more than one child element, the `:key` values must be unique. It’s advised to use `kebab-case` namespaces.","<template v-for=""(item, index) in items"">
  <span :key=""`span-${index}`""></span>
  <button :key=""`button-${index}`""></button>
</template>
",
:key,:key,When dealing with nested `v-for` use the same guidelines as above.,"<div
  v-for=""item in items""
  :key=""item.id""
>
  <span
    v-for=""element in array""
    :key=""element.id""
  >
    <!-- content -->
  </span>
</div>
","Useful links:
Maintaining State 
Vue Style Guide: Keyed v-for"
Vue testing,Vue testing,"Over time, a number of programming patterns and style preferences have emerged in our efforts to effectively test Vue components. The following guide describes some of these. These are not strict guidelines , but rather a collection of suggestions and good practices that aim to provide insight into how we write Vue tests at GitLab.",,
Mounting a component,Vue testing/Mounting a component,"Typically, when testing a Vue component, the component should be “re-mounted” in every test block.
To achieve this:
Create a mutable `wrapper` variable inside the top-level `describe` block. 
Mount the component using mount or shallowMount . 
Reassign the resulting Wrapper instance to our `wrapper` variable.
Creating a global, mutable wrapper provides a number of advantages, including the ability to:
Define common functions for finding components/DOM elements:","import MyComponent from '~/path/to/my_component.vue';
describe('MyComponent', () => {
  let wrapper;

  // this can now be reused across tests
  const findMyComponent = wrapper.findComponent(MyComponent);
  // ...
})
","Use a `beforeEach` block to mount the component (see the
 
 createComponent
 
 factory for more information). 
Automatically destroy the component after the test is run with enableAutoDestroy set in shared_test_setup.js ."
The createComponent factory,Vue testing/Mounting a component/The createComponent factory,"To avoid duplicating our mounting logic, it’s useful to define a `createComponent` factory function that we can reuse in each test block. This is a closure which should reassign our `wrapper` variable to the result of mount and shallowMount :","import MyComponent from '~/path/to/my_component.vue';
import { shallowMount } from '@vue/test-utils';

describe('MyComponent', () => {
  // Initiate the ""global"" wrapper variable. This will be used throughout our test:
  let wrapper;

  // Define our `createComponent` factory:
  function createComponent() {
    // Mount component and reassign `wrapper`:
    wrapper = shallowMount(MyComponent);
  }

  it('mounts', () => {
    createComponent();

    expect(wrapper.exists()).toBe(true);
  });

  it('`isLoading` prop defaults to `false`', () => {
    createComponent();

    expect(wrapper.props('isLoading')).toBe(false);
  });
})
",
The createComponent factory,Vue testing/Mounting a component/The createComponent factory,"Similarly, we could further de-duplicate our test by calling `createComponent` in a `beforeEach` block:","import MyComponent from '~/path/to/my_component.vue';
import { shallowMount } from '@vue/test-utils';

describe('MyComponent', () => {
  // Initiate the ""global"" wrapper variable. This will be used throughout our test
  let wrapper;

  // define our `createComponent` factory
  function createComponent() {
    // mount component and reassign `wrapper`
    wrapper = shallowMount(MyComponent);
  }

  beforeEach(() => {
    createComponent();
  });

  it('mounts', () => {
    expect(wrapper.exists()).toBe(true);
  });

  it('`isLoading` prop defaults to `false`', () => {
    expect(wrapper.props('isLoading')).toBe(false);
  });
})
",
createComponent best practices,Vue testing/Mounting a component/createComponent best practices,"Consider using a single (or a limited number of) object arguments over many arguments. Defining single parameters for common data like `props` is okay, but keep in mind our JavaScript style guide and stay within the parameter number limit:","// bad
function createComponent(props, stubs, mountFn, foo) { }

// good
function createComponent({ props, stubs, mountFn, foo } = {}) { }

// good
function createComponent(props = {}, { stubs, mountFn, foo } = {}) { }
",
createComponent best practices,Vue testing/Mounting a component/createComponent best practices,"If you require both `mount` 
and 
`shallowMount` within the same set of tests, it can be useful define a `mountFn` parameter for the `createComponent` factory that accepts the mounting function ( `mount` or `shallowMount` ) to be used to mount the component:","import { shallowMount } from '@vue/test-utils';

function createComponent({ mountFn = shallowMount } = {}) { }
",
createComponent best practices,Vue testing/Mounting a component/createComponent best practices,Use the `mountExtended` and `shallowMountExtended` helpers to expose `wrapper.findByTestId()` :,"import { shallowMountExtended } from 'helpers/vue_test_utils_helper';
import { SomeComponent } from 'components/some_component.vue';

let wrapper;

const createWrapper = () => { wrapper = shallowMountExtended(SomeComponent); };
const someButton = () => wrapper.findByTestId('someButtonTestId');
","Avoid using `data` , `methods` , or any other mounting option that extends component internals."
createComponent best practices,Vue testing/Mounting a component/createComponent best practices,,"  import { shallowMountExtended } from 'helpers/vue_test_utils_helper';
  import { SomeComponent } from 'components/some_component.vue';

  let wrapper;

  // bad :( - This circumvents the actual user interaction and couples the test to component internals.
  const createWrapper = ({ data }) => {
    wrapper = shallowMountExtended(SomeComponent, {
      data
    });
  };

  // good :) - Helpers like `clickShowButton` interact with the actual I/O of the component.
  const createWrapper = () => {
    wrapper = shallowMountExtended(SomeComponent);
  };
  const clickShowButton = () => {
    wrapper.findByTestId('show').trigger('click');
  }
",
Setting component state,Vue testing/Mounting a component/Setting component state,"Avoid using setProps to set component state wherever possible. Instead, set the component’s propsData when mounting the component:","// bad
wrapper = shallowMount(MyComponent);
wrapper.setProps({
  myProp: 'my cool prop'
});

// good
wrapper = shallowMount({ propsData: { myProp: 'my cool prop' } });
","The exception here is when you wish to test component reactivity in some way. For example, you may want to test the output of a component when after a particular watcher has executed. Using `setProps` to test such behavior is okay. 
Avoid using setData which sets the component’s internal state and circumvents testing the actual I/O of the component. Instead, trigger events on the component’s children or other side-effects to force state changes."
Accessing component state,Vue testing/Mounting a component/Accessing component state,"When accessing props or attributes, prefer the `wrapper.props('myProp')` syntax over `wrapper.props().myProp` or `wrapper.vm.myProp` :","// good
expect(wrapper.props().myProp).toBe(true);
expect(wrapper.attributes().myAttr).toBe(true);

// better
expect(wrapper.props('myProp').toBe(true);
expect(wrapper.attributes('myAttr')).toBe(true);
",
Accessing component state,Vue testing/Mounting a component/Accessing component state,"When asserting multiple props, check the deep equality of the `props()` object with toEqual :","// good
expect(wrapper.props('propA')).toBe('valueA');
expect(wrapper.props('propB')).toBe('valueB');
expect(wrapper.props('propC')).toBe('valueC');

// better
expect(wrapper.props()).toEqual({
  propA: 'valueA',
  propB: 'valueB',
  propC: 'valueC',
});
",
Accessing component state,Vue testing/Mounting a component/Accessing component state,"If you are only interested in some of the props, you can use toMatchObject . Prefer `toMatchObject` over expect.objectContaining :","// good
expect(wrapper.props()).toEqual(expect.objectContaining({
  propA: 'valueA',
  propB: 'valueB',
}));

// better
expect(wrapper.props()).toMatchObject({
  propA: 'valueA',
  propB: 'valueB',
});
",
Testing props validation,Vue testing/Mounting a component/Testing props validation,When checking component props use `assertProps` helper. Props validation failures will be thrown as errors:,"import { assertProps } from 'helpers/assert_props'

// ...

expect(() => assertProps(SomeComponent, { invalidPropValue: '1', someOtherProp: 2 })).toThrow()
",
The JavaScript/Vue Accord,The JavaScript/Vue Accord,"The goal of this accord is to make sure we are all on the same page.
When writing Vue, you may not use jQuery in your application. 
If you need to grab data from the DOM, you may query the DOM 1 time while bootstrapping your application to grab data attributes using `dataset` . You can do this without jQuery. 
You may use a jQuery dependency in Vue.js following this example from the docs . 
If an outside jQuery Event needs to be listen to inside the Vue application, you may use jQuery event listeners. 
We avoid adding new jQuery events when they are not required. Instead of adding new jQuery events take a look at different methods to do the same task . 
You may query the `window` object one time, while bootstrapping your application for application specific data (for example, `scrollTo` is ok to access anytime). Do this access during the bootstrapping of your application. 
You may have a temporary but immediate need to create technical debt by writing code that does not follow our standards, to be refactored later. Maintainers need to be ok with the tech debt in the first place. An issue should be created for that tech debt to evaluate it further and discuss. In the coming months you should fix that tech debt, with its priority to be determined by maintainers. 
When creating tech debt you must write the tests for that code before hand and those tests may not be rewritten. For example, jQuery tests rewritten to Vue tests. 
You may choose to use VueX as a centralized state management. If you choose not to use VueX, you must use the store pattern which can be found in the Vue.js documentation . 
Once you have chosen a centralized state-management solution you must use it for your entire application. Don’t mix and match your state-management solutions.",,
