title,belongs to,description,example,appendix
Objective-C Method Names,Naming/Objective-C Method Names,"Accessors that return the value of boolean adjectives have method names beginning with `is` , but property names for those methods omit the `is` .
Dot notation is used only with property names, not with method names.","// GOOD:

@property(nonatomic, getter=isGlorious) BOOL glorious;
- (BOOL)isGlorious;

BOOL isGood = object.glorious;      // GOOD.
BOOL isGood = [object isGlorious];  // GOOD.

// AVOID:

BOOL isGood = object.isGlorious;    // AVOID.

// GOOD:

NSArray<Frog *> *frogs = [NSArray<Frog *> arrayWithObject:frog];
NSEnumerator *enumerator = [frogs reverseObjectEnumerator];  // GOOD.

// AVOID:

NSEnumerator *enumerator = frogs.reverseObjectEnumerator;    // AVOID.
","See Apple’s Guide to Naming
Methods for more details on Objective-C naming.
These guidelines are for Objective-C methods only. C++ method names continue to follow the rules set in the C++ style guide."
Function Names,Naming/Function Names,Function names should start with a capital letter and have a capital letter for each new word (a.k.a. “ camel case ” or “Pascal case”).,"// GOOD:

static void AddTableEntry(NSString *tableEntry);
static BOOL DeleteFile(const char *filename);
",
Function Names,Naming/Function Names,"Because Objective-C does not provide namespacing, non-static functions should have a prefix that minimizes the chance of a name collision.","// GOOD:

extern NSTimeZone *GTMGetDefaultTimeZone(void);
extern NSString *GTMGetURLScheme(NSURL *URL);
",
Variable Names,Naming/Variable Names,"Variable names typically start with a lowercase and use mixed case to delimit words.
Instance variables have leading underscores. File scope or global variables have a prefix `g` . For example: `myLocalVariable` , `_myInstanceVariable` , `gMyGlobalVariable` .",,
Common Variable Names,Naming/Variable Names/Common Variable Names,"Readers should be able to infer the variable type from the name, but do not use Hungarian notation for syntactic attributes, such as the static type of a variable (int or pointer).
File scope or global variables (as opposed to constants) declared outside the scope of a method or function should be rare, and should have the prefix g.","// GOOD:

static int gGlobalCounter;
",
Instance Variables,Naming/Variable Names/Instance Variables,"Instance variable names are mixed case and should be prefixed with an underscore, like `_usernameTextField` .
NOTE: Google’s previous convention for Objective-C ivars was a trailing underscore. Existing projects may opt to continue using trailing underscores in new code in order to maintain consistency within the project codebase. Consistency of prefix or suffix underscores should be maintained within each class.",,
Constants,Naming/Variable Names/Constants,"Constant symbols (const global and static variables and constants created with #define) should use mixed case to delimit words.
Global and file scope constants should have an appropriate prefix .","// GOOD:

extern NSString *const GTLServiceErrorDomain;

typedef NS_ENUM(NSInteger, GTLServiceError) {
  GTLServiceErrorQueryResultMissing = -3000,
  GTLServiceErrorWaitTimedOut       = -3001,
};
",
Constants,Naming/Variable Names/Constants,"Because Objective-C does not provide namespacing, constants with external linkage should have a prefix that minimizes the chance of a name collision, typically like `ClassNameConstantName` or `ClassNameEnumName` .
For interoperability with Swift code, enumerated values should have names that extend the typedef name:","// GOOD:

typedef NS_ENUM(NSInteger, DisplayTinge) {
  DisplayTingeGreen = 1,
  DisplayTingeBlue = 2,
};
",
Constants,Naming/Variable Names/Constants,A lowercase k can be used as a standalone prefix for constants of static storage duration declared within implementation files:,"// GOOD:

static const int kFileCount = 12;
static NSString *const kUserKey = @""kUserKey"";
",NOTE: Previous convention was for public constant names to begin with a lowercase k followed by a project-specific prefix . This practice is no longer recommended.
Method Declarations,Types and Declarations/Method Declarations,"As shown in the example , the recommended order for declarations in an `@interface` declaration are: properties, class methods, initializers, and then finally instance methods. The class methods section should begin with any convenience constructors.",,
Local Variables,Types and Declarations/Local Variables,"Declare variables in the narrowest practical scopes, and close to their use. Initialize variables in their declarations.","// GOOD:

CLLocation *location = [self lastKnownLocation];
for (int meters = 1; meters < 10; meters++) {
  reportFrogsWithinRadius(location, meters);
}
",
Local Variables,Types and Declarations/Local Variables,"Occasionally, efficiency will make it more appropriate to declare a variable outside the scope of its use. This example declares meters separate from initialization, and needlessly sends the lastKnownLocation message each time through the loop:","// AVOID:

int meters;                                         // AVOID.
for (meters = 1; meters < 10; meters++) {
  CLLocation *location = [self lastKnownLocation];  // AVOID.
  reportFrogsWithinRadius(location, meters);
}
","Under Automatic Reference Counting, strong and weak pointers to Objective-C objects are automatically initialized to `nil` , so explicit initialization to `nil` is not required for those common cases. However, automatic initialization does not occur for many Objective-C pointer types, including object pointers declared with the `__unsafe_unretained` ownership qualifier and CoreFoundation object pointer types. When in doubt, prefer to initialize all Objective-C local variables."
Unsigned Integers,Types and Declarations/Unsigned Integers,"Avoid unsigned integers except when matching types used by system interfaces.
Subtle errors crop up when doing math or counting down to zero using unsigned integers. Rely only on signed integers in math expressions except when matching NSUInteger in system interfaces.","// GOOD:

NSUInteger numberOfObjects = array.count;
for (NSInteger counter = numberOfObjects - 1; counter > 0; --counter)

// AVOID:

for (NSUInteger counter = numberOfObjects - 1; counter > 0; --counter)  // AVOID.
","Unsigned integers may be used for flags and bitmasks, though often NS_OPTIONS or NS_ENUM will be more appropriate."
Types with Inconsistent Sizes,Types and Declarations/Types with Inconsistent Sizes,"Due to sizes that differ in 32- and 64-bit builds, avoid types long, NSInteger, NSUInteger, and CGFloat except when matching system interfaces.
Types long, NSInteger, NSUInteger, and CGFloat vary in size between 32- and 64-bit builds. Use of these types is appropriate when handling values exposed by system interfaces, but they should be avoided for most other computations.","// GOOD:

int32_t scalar1 = proto.intValue;

int64_t scalar2 = proto.longValue;

NSUInteger numberOfObjects = array.count;

CGFloat offset = view.bounds.origin.x;

// AVOID:

NSInteger scalar2 = proto.longValue;  // AVOID.
","File and buffer sizes often exceed 32-bit limits, so they should be declared using `int64_t` , not with `long` , `NSInteger` , or `NSUInteger` ."
Comments,Comments,"Comments are absolutely vital to keeping our code readable. The following rules describe what you should comment and where. But remember: while comments are important, the best code is self-documenting. Giving sensible names to types and variables is much better than using obscure names and then trying to explain them through comments.
Pay attention to punctuation, spelling, and grammar; it is easier to read well-written comments than badly written ones.
Comments should be as readable as narrative text, with proper capitalization and punctuation. In many cases, complete sentences are more readable than sentence fragments. Shorter comments, such as comments at the end of a line of code, can sometimes be less formal, but use a consistent style. When writing your comments, write for your audience: the next contributor who will need to understand your code. Be generous—the next one may be you!",,
File Comments,Comments/File Comments,"A file may optionally start with a description of its contents. Every file may contain the following items, in order:
License boilerplate if necessary. Choose the appropriate boilerplate for the license used by the project. 
A basic description of the contents of the file if necessary.
If you make significant changes to a file with an author line, consider deleting the author line since revision history already provides a more detailed and accurate record of authorship.",,
Declaration Comments,Comments/Declaration Comments,"Every non-trivial interface, public and private, should have an accompanying comment describing its purpose and how it fits into the larger picture.
Comments should be used to document classes, properties, ivars, functions, categories, protocol declarations, and enums.","// GOOD:

/**
 * A delegate for NSApplication to handle notifications about app
 * launch and shutdown. Owned by the main app controller.
 */
@interface MyAppDelegate : NSObject {
  /**
   * The background task in progress, if any. This is initialized
   * to the value UIBackgroundTaskInvalid.
   */
  UIBackgroundTaskIdentifier _backgroundTaskID;
}

/** The factory that creates and manages fetchers for the app. */
@property(nonatomic) GTMSessionFetcherService *fetcherService;

@end
","Doxygen-style comments are encouraged for interfaces as they are parsed by Xcode to display formatted documentation. There is a wide variety of Doxygen commands; use them consistently within a project.
If you have already described an interface in detail in the comments at the top of your file, feel free to simply state, “See comment at top of file for a complete description”, but be sure to have some sort of comment.
Additionally, each method should have a comment explaining its function, arguments, return value, thread or queue assumptions, and any side effects. Documentation comments should be in the header for public methods, or immediately preceding the method for non-trivial private methods.
Use descriptive form (“Opens the file”) rather than imperative form (“Open the file”) for method and function comments. The comment describes the function; it does not tell the function what to do.
Document the thread usage assumptions the class, properties, or methods make, if any. If an instance of the class can be accessed by multiple threads, take extra care to document the rules and invariants surrounding multithreaded use.
Any sentinel values for properties and ivars, such as `NULL` or `-1` , should be documented in comments.
Declaration comments explain how a method or function is used. Comments explaining how a method or function is implemented should be with the implementation rather than with the declaration."
Implementation Comments,Comments/Implementation Comments,"Provide comments explaining tricky, subtle, or complicated sections of code.","// GOOD:

// Set the property to nil before invoking the completion handler to
// avoid the risk of reentrancy leading to the callback being
// invoked again.
CompletionHandler handler = self.completionHandler;
self.completionHandler = nil;
handler();
",
Implementation Comments,Comments/Implementation Comments,"When useful, also provide comments about implementation approaches that were considered or abandoned.
End-of-line comments should be separated from the code by at least 2 spaces. If you have several comments on subsequent lines, it can often be more readable to line them up.","// GOOD:

[self doSomethingWithALongName];  // Two spaces before the comment.
[self doSomethingShort];          // More spacing to align the comment.
",
Disambiguating Symbols,Comments/Disambiguating Symbols,"Where needed to avoid ambiguity, use backticks or vertical bars to quote variable names and symbols in comments in preference to using quotation marks or naming the symbols inline.
In Doxygen-style comments, prefer demarcating symbols with a monospace text command, such as `@c` .
Demarcation helps provide clarity when a symbol is a common word that might make the sentence read like it was poorly constructed. A common example is the symbol `count` :","// GOOD:

// Sometimes `count` will be less than zero.
",
Disambiguating Symbols,Comments/Disambiguating Symbols,or when quoting something which already contains quotes,"// GOOD:

// Remember to call `StringWithoutSpaces(""foo bar baz"")`
",
Disambiguating Symbols,Comments/Disambiguating Symbols,Backticks or vertical bars are not needed when a symbol is self-apparent.,"// GOOD:

// This class serves as a delegate to GTMDepthCharge.
",
Disambiguating Symbols,Comments/Disambiguating Symbols,Doxygen formatting is also suitable for identifying symbols.,"// GOOD:

/** @param maximum The highest value for @c count. */
",
Object Ownership,Comments/Object Ownership,"For objects not managed by ARC, make the pointer ownership model as explicit as possible when it falls outside the most common Objective-C usage idioms.",,
Manual Reference Counting,Comments/Object Ownership/Manual Reference Counting,"Instance variables for NSObject-derived objects are presumed to be retained; if they are not retained, they should be either commented as weak or declared with the `__weak` lifetime qualifier.
An exception is in Mac software for instance variables labeled as `@IBOutlets` , which are presumed to not be retained.
Where instance variables are pointers to Core Foundation, C++, and other non-Objective-C objects, they should always be declared with strong and weak comments to indicate which pointers are and are not retained. Core Foundation and other non-Objective-C object pointers require explicit memory management, even when building for automatic reference counting.
Examples of strong and weak declarations:","// GOOD:

@interface MyDelegate : NSObject

@property(nonatomic) NSString *doohickey;
@property(nonatomic, weak) NSString *parent;

@end


@implementation MyDelegate {
  IBOutlet NSButton *_okButton;  // Normal NSControl; implicitly weak on Mac only

  AnObjcObject *_doohickey;  // My doohickey
  __weak MyObjcParent *_parent;  // To send messages back (owns this instance)

  // non-NSObject pointers...
  CWackyCPPClass *_wacky;  // Strong, some cross-platform object
  CFDictionaryRef *_dict;  // Strong
}
@end
",
Automatic Reference Counting,Comments/Object Ownership/Automatic Reference Counting,"Object ownership and lifetime are explicit when using ARC, so no additional comments are required for automatically retained objects.",,
Macros,C Language Features/Macros,"Avoid macros, especially where `const` variables, enums, XCode snippets, or C functions may be used instead.
Macros make the code you see different from the code the compiler sees. Modern C renders traditional uses of macros for constants and utility functions unnecessary. Macros should only be used when there is no other solution available.
Where a macro is needed, use a unique name to avoid the risk of a symbol collision in the compilation unit. If practical, keep the scope limited by `#undefining` the macro after its use.
Macro names should use `SHOUTY_SNAKE_CASE` —all uppercase letters with underscores between words. Function-like macros may use C function naming practices. Do not define macros that appear to be C or Objective-C keywords.","// GOOD:

#define GTM_EXPERIMENTAL_BUILD ...      // GOOD

// Assert unless X > Y
#define GTM_ASSERT_GT(X, Y) ...         // GOOD, macro style.

// Assert unless X > Y
#define GTMAssertGreaterThan(X, Y) ...  // GOOD, function style.

// AVOID:

#define kIsExperimentalBuild ...        // AVOID

#define unless(X) if(!(X))              // AVOID
",
Macros,C Language Features/Macros,"Avoid macros that expand to unbalanced C or Objective-C constructs. Avoid macros that introduce scope, or may obscure the capturing of values in blocks.
Avoid macros that generate class, property, or method definitions in headers to be used as public API. These only make the code hard to understand, and the language already has better ways of doing this.
Avoid macros that generate method implementations, or that generate declarations of variables that are later used outside of the macro. Macros shouldn’t make code hard to understand by hiding where and how a variable is declared.","// AVOID:

#define ARRAY_ADDER(CLASS) \
  -(void)add ## CLASS ## :(CLASS *)obj toArray:(NSMutableArray *)array

ARRAY_ADDER(NSString) {
  if (array.count > 5) {              // AVOID -- where is 'array' defined?
    ...
  }
}
","Examples of acceptable macro use include assertion and debug logging macros that are conditionally compiled based on build settings—often, these are not compiled into release builds."
Nonstandard Extensions,C Language Features/Nonstandard Extensions,"Nonstandard extensions to C/Objective-C may not be used unless otherwise specified.
Compilers support various extensions that are not part of standard C. Examples include compound statement expressions (e.g. `foo=({intx;Bar(&x);x})` ).
`__attribute__` is an approved exception, as it is used in Objective-C API specifications.
The binary form of the conditional operator, `A?:B` , is an approved exception.",,
Identify Designated Initializer,Cocoa and Objective-C Features/Identify Designated Initializer,"Clearly identify your designated initializer.
It is important for those who might be subclassing your class that the designated initializer be clearly identified. That way, they only need to override a single initializer (of potentially several) to guarantee the initializer of their subclass is called. It also helps those debugging your class in the future understand the flow of initialization code if they need to step through it. Identify the designated initializer using comments or the `NS_DESIGNATED_INITIALIZER` macro. If you use `NS_DESIGNATED_INITIALIZER` , mark unsupported initializers with `NS_UNAVAILABLE` .",,
Override Designated Initializer,Cocoa and Objective-C Features/Override Designated Initializer,"When writing a subclass that requires an `init...` method, make sure you override the designated initializer of the superclass.
If you fail to override the designated initializer of the superclass, your initializer may not be called in all cases, leading to subtle and very difficult to find bugs.",,
Overridden NSObject Method Placement,Cocoa and Objective-C Features/Overridden NSObject Method Placement,"Put overridden methods of NSObject at the top of an `@implementation` .
This commonly applies to (but is not limited to) the `init...` , `copyWithZone:` , and `dealloc` methods. The `init...` methods should be grouped together, followed by other typical `NSObject` methods such as `description` , `isEqual:` , and `hash` .
Convenience class factory methods for creating instances may precede the `NSObject` methods.",,
Initialization,Cocoa and Objective-C Features/Initialization,"Don’t initialize instance variables to `0` or `nil` in the `init` method; doing so is redundant.
All instance variables for a newly allocated object are initialized
to 
`0` (except for isa), so don’t clutter up the init method by re-initializing variables to `0` or `nil` .",,
Instance Variables In Headers Should Be @protected or @private,Cocoa and Objective-C Features/Instance Variables In Headers Should Be @protected or @private,"Instance variables should typically be declared in implementation files or auto-synthesized by properties. When ivars are declared in a header file, they should be marked `@protected` or `@private` .","// GOOD:

@interface MyClass : NSObject {
 @protected
  id _myInstanceVariable;
}
@end
",
Do Not Use +new,Cocoa and Objective-C Features/Do Not Use +new,"Do not invoke the `NSObject` class method `new` , nor override it in a subclass. `+new` is rarely used and contrasts greatly with initializer usage. Instead, use `+alloc` and `-init` methods to instantiate retained objects.",,
Keep the Public API Simple,Cocoa and Objective-C Features/Keep the Public API Simple,"Keep your class simple; avoid “kitchen-sink” APIs. If a method doesn’t need to be public, keep it out of the public interface.
Unlike C++, Objective-C doesn’t differentiate between public and private methods; any message may be sent to an object. As a result, avoid placing methods in the public API unless they are actually expected to be used by a consumer of the class. This helps reduce the likelihood they’ll be called when you’re not expecting it. This includes methods that are being overridden from the parent class.
Since internal methods are not really private, it’s easy to accidentally override a superclass’s “private” method, thus making a very difficult bug to squash. In general, private methods should have a fairly unique name that will prevent subclasses from unintentionally overriding them.",,
#import and #include,Cocoa and Objective-C Features/#import and #include,"`#import` Objective-C and Objective-C++ headers, and `#include` C/C++ headers.
C/C++ headers include other C/C++ headers using `#include` . Using `#import` on C/C++ headers prevents future inclusions using `#include` and could result in unintended compilation behavior. C/C++ headers should provide their own `#define` guard.",,
Order of Includes,Cocoa and Objective-C Features/Order of Includes,"The standard order for header inclusion is the related header, operating system headers, language library headers, and finally groups of headers for other dependencies.
The related header precedes others to ensure it has no hidden dependencies. For implementation files the related header is the header file. For test files the related header is the header containing the tested interface.
A blank line may separate logically distinct groups of included headers.
Within each group the includes should be ordered alphabetically.
Import headers using their path relative to the project’s source directory.","// GOOD:

#import ""ProjectX/BazViewController.h""

#import <Foundation/Foundation.h>

#include <unistd.h>
#include <vector>

#include ""base/basictypes.h""
#include ""base/integral_types.h""
#include ""util/math/mathutil.h""

#import ""ProjectX/BazModel.h""
#import ""Shared/Util/Foo.h""
",
Use Umbrella Headers for System Frameworks,Cocoa and Objective-C Features/Use Umbrella Headers for System Frameworks,"Import umbrella headers for system frameworks and system libraries rather than include individual files.
While it may seem tempting to include individual system headers from a framework such as Cocoa or Foundation, in fact it’s less work on the compiler if you include the top-level root framework. The root framework is generally pre-compiled and can be loaded much more quickly. In addition, remember to use `@import` or `#import` rather than `#include` for Objective-C frameworks.","// GOOD:

@import UIKit;     // GOOD.
#import <Foundation/Foundation.h>     // GOOD.

// AVOID:

#import <Foundation/NSArray.h>        // AVOID.
#import <Foundation/NSString.h>
...
",
Avoid Messaging the Current Object Within Initializers and -dealloc,Cocoa and Objective-C Features/Avoid Messaging the Current Object Within Initializers and -dealloc,"Code in initializers and `-dealloc` should avoid invoking instance methods.
Superclass initialization completes before subclass initialization. Until all classes have had a chance to initialize their instance state any method invocation on self may lead to a subclass operating on uninitialized instance state.
A similar issue exists for `-dealloc` , where a method invocation may cause a class to operate on state that has been deallocated.
One case where this is less obvious is property accessors. These can be overridden just like any other selector. Whenever practical, directly assign to and release ivars in initializers and `-dealloc` , rather than rely on accessors.","// GOOD:

- (instancetype)init {
  self = [super init];
  if (self) {
    _bar = 23;  // GOOD.
  }
  return self;
}
",
Avoid Messaging the Current Object Within Initializers and -dealloc,Cocoa and Objective-C Features/Avoid Messaging the Current Object Within Initializers and -dealloc,"Beware of factoring common initialization code into helper methods:
Methods can be overridden in subclasses, either deliberately, or accidentally due to naming collisions. 
When editing a helper method, it may not be obvious that the code is being run from an initializer.","// AVOID:

- (instancetype)init {
  self = [super init];
  if (self) {
    self.bar = 23;  // AVOID.
    [self sharedMethod];  // AVOID. Fragile to subclassing or future extension.
  }
  return self;
}

// GOOD:

- (void)dealloc {
  [_notifier removeObserver:self];  // GOOD.
}

// AVOID:

- (void)dealloc {
  [self removeNotifications];  // AVOID.
}
",
Setters copy NSStrings,Cocoa and Objective-C Features/Setters copy NSStrings,"Setters taking an `NSString` should always copy the string it accepts. This is often also appropriate for collections like `NSArray` and `NSDictionary` .
Never just retain the string, as it may be a `NSMutableString` . This avoids the caller changing it under you without your knowledge.
Code receiving and holding collection objects should also consider that the passed collection may be mutable, and thus the collection could be more safely held as a copy or mutable copy of the original.","// GOOD:

@property(nonatomic, copy) NSString *name;

- (void)setZigfoos:(NSArray<Zigfoo *> *)zigfoos {
  // Ensure that we're holding an immutable collection.
  _zigfoos = [zigfoos copy];
}
",
Use Lightweight Generics to Document Contained Types,Cocoa and Objective-C Features/Use Lightweight Generics to Document Contained Types,"All projects compiling on Xcode 7 or newer versions should make use of the Objective-C lightweight generics notation to type contained objects.
Every `NSArray` , `NSDictionary` , or `NSSet` reference should be declared using lightweight generics for improved type safety and to explicitly document usage.","// GOOD:

@property(nonatomic, copy) NSArray<Location *> *locations;
@property(nonatomic, copy, readonly) NSSet<NSString *> *identifiers;

NSMutableArray<MyLocation *> *mutableLocations = [otherObject.locations mutableCopy];
",
Use Lightweight Generics to Document Contained Types,Cocoa and Objective-C Features/Use Lightweight Generics to Document Contained Types,"If the fully-annotated types become complex, consider using a typedef to preserve readability.","// GOOD:

typedef NSSet<NSDictionary<NSString *, NSDate *> *> TimeZoneMappingSet;
TimeZoneMappingSet *timeZoneMappings = [TimeZoneMappingSet setWithObjects:...];
",
Use Lightweight Generics to Document Contained Types,Cocoa and Objective-C Features/Use Lightweight Generics to Document Contained Types,"Use the most descriptive common superclass or protocol available. In the most generic case when nothing else is known, declare the collection to be explicitly heterogenous using id.","// GOOD:

@property(nonatomic, copy) NSArray<id> *unknowns;
",
Avoid Throwing Exceptions,Cocoa and Objective-C Features/Avoid Throwing Exceptions,"Don’t `@throw` Objective-C exceptions, but you should be prepared to catch them from third-party or OS calls.
This follows the recommendation to use error objects for error delivery in Apple’s Introduction to Exception Programming Topics for
Cocoa .
We do compile with `-fobjc-exceptions` (mainly so we get `@synchronized` ), but we don’t `@throw` . Use of `@try` , `@catch` , and `@finally` are allowed when required to properly use 3rd party code or libraries. If you do use them, please document exactly which methods you expect to throw.",,
